사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,방지시설연간가동일수,방지시설조업시간,배출시설연간가동일수,배출시설조업시간,업종명,종별명,주생산품명,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
(주)명신염색가공,20070104,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2007-68번지,대구광역시 서구 염색공단중앙로12길 32 (비산동),
서진머티리얼(주),20070126,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 3325-3번지,대구광역시 서구 염색공단중앙로 69 (비산동),
득산실업,20070205,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 3325-10번지,대구광역시 서구 염색공단중앙로 65 (비산동),
(주)성광공업,20070307,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-320번지,대구광역시 서구 문화로17길 23 (이현동),
쌍용자동차대구사업소(주),20070315,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-35번지,대구광역시 서구 와룡로 489 (이현동),
삼우금속,20070315,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 중리동 1022번지,대구광역시 서구 와룡로69길 60-7 (중리동),
국민피치,20070413,폐업 등,20080722,,,,,,,,,일반 의원,5종,,대기배출업소관리,대구광역시 서구 이현동 42-80번지,대구광역시 서구 문화로23길 13  (이현동),
하나테크,20070607,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 중리동 1022-8번지,대구광역시 서구 와룡로69길 60-3  (중리동),
GS모터스,20070611,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 이현동 42-293번지,대구광역시 서구 와룡로 411 (이현동),
원대금속,20080729,운영중,,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 서구 중리동 1119-1번지,대구광역시 서구 와룡로 350 (중리동),
(주)원영화학,20080822,운영중,,,,,,,,,,기타 화학제품 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 240-5번지,대구광역시 서구 가르뱅이로6길 39 (이현동),
한창콘베어(주),20080919,운영중,,,,,,,,,,엘리베이터 및 컨베이어장치 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-517번지,대구광역시 서구 와룡로87길 90  (이현동),
주식회사 고려텍스,20081110,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2006-62번지,대구광역시 서구 염색공단중앙로22길 37 (비산동),
화광섬유,20081128,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 이현동 25-2번지,대구광역시 서구 북비산로29길 58 (이현동),
오성도장,20081224,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 비산동 1744-8번지,대구광역시 서구 팔달로2길 12 (비산동),
명준염직,20090216,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2010-38번지,대구광역시 서구 염색공단로13길 31 (비산동),
(주)키토랑,20090420,운영중,,,,,,,,,,도축업,5종,,대기배출업소관리,대구광역시 서구 중리동 1024번지 891-5호,"대구광역시 서구 와룡로73길 50 (중리동,891-5호)",
삼호특수가공,20090501,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-373번지,대구광역시 서구 국채보상로7길 48 (이현동),
신용애드,20090512,운영중,,,,,,,,,,간판 및 광고물 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 226-1번지,대구광역시 서구 북비산로13길 12 (이현동),
용운자동차정비,19940613,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 동구 동호동 104-27번지,대구광역시 동구 안심로55길 29  (동호동),701230
광복공업사,19950712,폐업 등,20020108,,,,,,,,,,,,대기배출업소관리,대구광역시 동구 검사동 963-4번지,대구광역시 동구 해동로 254  (검사동),701040
동광보링정비공업사,19961230,폐업 등,20060525,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 동구 신서동 637-11번지,대구광역시 동구 안심로69길 42-1  (신서동),701300
성신사,19960827,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 각산동 294-1번지,대구광역시 동구 안심로65길 31-1  (각산동),701290
용전,19981228,폐업 등,20020129,,,,,,,,,,,,대기배출업소관리,대구광역시 동구 동호동 206-1번지,대구광역시 동구 안심로55길 1  (동호동),701230
자동차시대정비공장,19991127,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 불로동 947-1번지,대구광역시 동구 공항로31길 9-7 (불로동),
경북재향군인회각산동지점,20020612,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 각산동 298-4번지,대구광역시 동구 안심로65길 8 (각산동),
반야월 자동차 정비공장,19841024,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 100-6번지,대구광역시 동구 안심로55길 52 (동호동),
대성산업(주),19790220,폐업 등,20030121,,,,,,,,,연탄 및 기타 응집 유·무연탄 생산업,,,대기배출업소관리,대구광역시 동구 율암동 431-6번지,대구광역시 동구 반야월로 111-12  (율암동),701260
(주)SK대구저유소,19790220,폐업 등,20030228,,,,,,,,,석유정제품 제조업,,,대기배출업소관리,대구광역시 동구 내곡동 산 340번지,,701370
(주)거성산업자재,19871024,폐업 등,20030324,,,,,,,,,기타 섬유제품 제조업,,,대기배출업소관리,대구광역시 동구 각산동 301-1번지,,701290
동산타이어,19880130,폐업 등,20060912,,,,,,,,,타이어 재생업,5종,,대기배출업소관리,대구광역시 동구 각산동 920-1번지,,701290
신일식품,19880610,휴업 등,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 동호동 200-2번지,대구광역시 동구 안심로59길 19 (동호동),
대영산업,19900730,폐업 등,20060306,,,,,,,,,제재 및 목재 가공업,4종,,대기배출업소관리,대구광역시 동구 각산동 912-19번지,,701290
대구탁주합동제1공장,19790830,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 불로동 30-1번지,대구광역시 동구 팔공로34길 10  (불로동),701130
대풍산업,19850904,폐업 등,20070423,,,,,,,,,자동차부품 제조업,5종,,대기배출업소관리,대구광역시 동구 율암동 472번지,대구광역시 동구 반야월북로11길 28  (율암동),701260
한미합자제일화학(주),19840229,폐업 등,20160129,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 대림동 759번지,대구광역시 동구 대림로2길 54-11 (대림동),
(주)보성정비,19910902,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 102-33번지,대구광역시 동구 안심로59길 33 (동호동),
고려섬유(주),19781004,폐업 등,20030622,,,,,,,,,기타 섬유제품 제조업,,,대기배출업소관리,대구광역시 동구 신서동 520-8번지,대구광역시 동구 안심로 389-2  (신서동),701300
동우직물,20000101,폐업 등,20050415,,,,,,,,,그외 기타 분류 안된 섬유제품 제조업,5종,,대기배출업소관리,대구광역시 동구 각산동 293-7번지,대구광역시 동구 안심로59길 30  (각산동),701290
(주)춘광냉동종합식품,20001115,폐업 등,20060112,,,,,,,,,냉장 및 냉동 창고업,5종,,대기배출업소관리,대구광역시 동구 동호동 109-1번지,대구광역시 동구 경안로102길 22  (동호동),701230
대호직물,20000518,폐업 등,20050131,,,,,,,,,섬유제품 제조업 봉제의복 제외,5종,,대기배출업소관리,대구광역시 동구 동호동 103-7번지,,701230
하나정비공장,19930415,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 104-25번지,대구광역시 동구 안심로55길 25 (동호동),
한국포토엣칭,20001011,폐업 등,20060310,,,,,,,,,"전자부품, 영상, 음향 및 통신장비 제조업",5종,,대기배출업소관리,대구광역시 동구 각산동 905번지,대구광역시 동구 반야월북로 123  (각산동),701290
조일공업고등학교,20001014,폐업 등,20040318,,,,,,,,,공업고등학교,5종,,대기배출업소관리,대구광역시 동구 신평동 50번지,대구광역시 동구 신덕로 136-11  (신평동),701140
제일가구산업,20001108,폐업 등,20020312,,,,,,,,,기타 목재가구 제조업,5종,,대기배출업소관리,대구광역시 동구 신서동 621-3번지,대구광역시 동구 안심로73길 31  (신서동),701300
성오산업,20001110,폐업 등,20041119,,,,,,,,,레미콘 제조업,4종,,대기배출업소관리,대구광역시 동구 도동 산 76-3번지 외 3필지,,701180
입석여자중학교,20001115,폐업 등,20011008,,,,,,,,,중학교,5종,,대기배출업소관리,대구광역시 동구 입석동 951번지,대구광역시 동구 동촌로 10  (입석동),701050
인산산업제2공장,20010223,폐업 등,20021213,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 동구 동호동 104-4번지,대구광역시 동구 안심로55길 37  (동호동),701230
화산자원,20010315,폐업 등,20040608,,,,,,,,,폐기물 처리업,5종,,대기배출업소관리,대구광역시 동구 대림동 163번지,대구광역시 동구 대림로2길 30-17  (대림동),701350
일진운수(주),20010328,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 효목동 597-3번지,대구광역시 동구 화랑로25길 61 (효목동),
영성스텐파이프,20010428,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 108-10번지,대구광역시 동구 안심로55길 3 (동호동),701230
신한토건(주),20010728,폐업 등,20020814,,,,,,,,,"시멘트, 석회, 플라스터 및 그 제품 제조업",5종,,대기배출업소관리,대구광역시 동구 평광동 산 119-1번지,,701190
문성섬유,20011106,운영중,,,,,,,,,,기타 섬유제품 제조업,5종,,대기배출업소관리,대구광역시 동구 각산동 293-10번지,대구광역시 동구 안심로59길 24  (각산동),701290
동대구서비스 MOTORS,20020308,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 입석동 959-4번지,대구광역시 동구 동촌로 17 (입석동),
송정종합정비,20020706,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 각산동 301-3번지,대구광역시 동구 안심로59길 18 (각산동),
동흥정밀공업,,폐업 등,20040816,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 104-7번지,대구광역시 동구 경안로102길 13-4  (동호동),701230
동흥정밀공업,,폐업 등,20040816,,,,,,,,,기타 금속처리업,5종,,대기배출업소관리,대구광역시 동구 각산동 904번지,,701290
쌍용자동차동대구정비사업소(주),20030822,폐업 등,20160620,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 신서동 639-8번지,대구광역시 동구 안심로69길 10 (신서동),
대평정비,20030902,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 동구 동호동 200-3번지,대구광역시 동구 안심로59길 17 (동호동),
진성알미늄,20031014,폐업 등,20031009,,,,,,,,,,,,대기배출업소관리,대구광역시 동구 각산동 880-1번지,,701290
(주)하이파워,20031230,폐업 등,20031230,,,,,,,,,,,,대기배출업소관리,대구광역시 동구 각산동 293-11번지,,701290
한성섬유,,폐업 등,20040726,,,,,,,,,,,,대기배출업소관리,대구광역시 동구 각산동 295-14번지,,701290
국방부(공군 제11전투비행단장),20050204,폐업 등,20070504,,,,,,,,,비금속광물제품 제조업,5종,,대기배출업소관리,대구광역시 동구 입석동 480번지,,701050
마코,20050427,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 신서동 640-5번지,대구광역시 동구 안심로69길 9  (신서동),701300
동광특장차종합정비,20060721,폐업 등,20070502,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 신서동 637-11번지,대구광역시 동구 안심로69길 42-1 (신서동),
현대칼라,20070607,폐업 등,20070101,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 동구 각산동 1084-4번지,,701290
(주)카맨모터스,20070706,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 각산동 293-9번지,대구광역시 동구 안심로59길 26 (각산동),
대원고무,20090615,운영중,,,,,,,,,,고무제품 제조업,5종,,대기배출업소관리,대구광역시 서구 중리동 1030-42번지,대구광역시 서구 와룡로 391-10  (중리동),
천명텍스,20090703,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2010-29번지,대구광역시 서구 염색공단로13길 31 (비산동),
제라(주),20090804,운영중,,,,,,,,,,기타 섬유제품 제조업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-80번지,대구광역시 서구 문화로23길 13 (이현동),
(주)서대구열에너지,20091015,운영중,,,,,,,,,,증기 및 온수 공급업,1종,,대기배출업소관리,대구광역시 서구 중리동 1123-2번지,대구광역시 서구 와룡로66안길 7 (중리동),
현대다이텍(주),20091021,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,대구광역시 서구 비산동 2041-115번지,대구광역시 서구 염색공단천로19길 31 (비산동),
(주)우성택시,20100118,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 서구 중리동 1060-7번지,대구광역시 서구 국채보상로 82  (중리동),
범진,20100324,폐업 등,20111107,,,,,,,,,"비철금속 제련, 정련 및 합금 제조업",5종,,대기배출업소관리,대구광역시 서구 이현동 42-520번지,대구광역시 서구 문화로 22-19  (이현동),
(주)미래이앤이,20100128,운영중,,,,,,,,,,폐기물 처리업,4종,,대기배출업소관리,대구광역시 서구 비산동 2049-6번지,대구광역시 서구 염색공단천로16길 13 (비산동),
진영산업,20100730,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 비산동 2043-27번지,대구광역시 서구 염색공단천로14길 15-5 (비산동),
웨스트,20100820,폐업 등,20100715,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 서구 중리동 1170-17번지,대구광역시 서구 와룡로65길 23  (중리동),
우신산업,20101012,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 비산동 2053-10번지,대구광역시 서구 염색공단천로 106  (비산동),
(주)경상정비공장,20101028,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 서구 비산동 1701-3번지,대구광역시 서구 팔달로 38 (비산동),
천수도금,20101108,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 비산동 2027-49번지,대구광역시 서구 염색공단천로10길 17 (비산동),
서부자원,20101117,운영중,,,,,,,,,,비금속원료 재생업,5종,,대기배출업소관리,대구광역시 서구 중리동 1170-10번지,대구광역시 서구 와룡로65길 25  (중리동),
(주)영광염직,20101126,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 평리동 403-6번지,대구광역시 서구 달서천로 142  (평리동),
선창하이텍,20101202,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 비산동 2043-40번지,대구광역시 서구 염색공단천로14길 7 (비산동),
원대종합정비,20110106,운영중,,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,"대구광역시 서구 비산동 1700-2번지 외 2필지(3,4)","대구광역시 서구 팔달로 42 (비산동1700-2,3,4) (비산동)",
JP산업,20110107,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 이현동 44-16번지,대구광역시 서구 국채보상로19길 17 (이현동),
대일텍스,20110113,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-199번지,대구광역시 서구 와룡로100길 16 (이현동),
(주)청운다이텍,20110119,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 평리동 409-9번지,대구광역시 서구 달서천로 160 (평리동),
(주)고신테크,20110209,운영중,,,,,,,,,,비금속원료 재생업,4종,,대기배출업소관리,대구광역시 서구 이현동 44-14번지,대구광역시 서구 국채보상로 71 (이현동),
일광금속환경(주),20110211,운영중,,,,,,,,,,금속원료 재생업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-223번지,대구광역시 서구 와룡로87길 72 (이현동),
위드모터스,20110427,운영중,,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 45-292번지,대구광역시 서구 북비산로 12-6 (이현동),
AMC,20110610,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-30번지,"대구광역시 서구 문화로 37 (이현동, 지하2층 자동차성능검사소, 제31호)",
거대산업,20111230,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-199번지,대구광역시 서구 와룡로100길 16 (이현동),
대왕자동차정비,20111017,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-548번지,대구광역시 서구 문화로23길 7 (이현동),
한영모터스(주),20111019,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 비산동 1656번지,대구광역시 서구 서대구로63길 5 (비산동),
(주)천우텍스타일,20111025,운영중,,,,,,,,,,기타 섬유제품 제조업,5종,,대기배출업소관리,대구광역시 서구 중리동 1115번지,대구광역시 서구 와룡로70길 13  (중리동),
대구염색산업단지관리공단 공동폐수1처리장,20111109,운영중,,,,,,,,,,폐수 처리업,5종,,대기배출업소관리,대구광역시 서구 비산동 3137번지,대구광역시 서구 염색공단천로19길 2 (비산동),
일성테크,20120110,운영중,,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-335번지,대구광역시 서구 문화로14길 18  (이현동),
미래섬유,20120125,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2037-25번지,대구광역시 서구 염색공단로 63 (비산동),
월드자동차서비스,20120130,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-560번지,대구광역시 서구 문화로 46  (이현동),
원스톱모터스,20120313,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-520번지,대구광역시 서구 문화로 22-17 (이현동),
(주)은성다이텍,20120320,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2036-36번지,대구광역시 서구 염색공단중앙로22길 11 (비산동),
카즈,20120330,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-73번지,대구광역시 서구 문화로19길 21 (이현동),
태성염공,20120423,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-61번지,대구광역시 서구 와룡로90길 25  (이현동),
(주)신원모터스,20120427,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 중리동 1030-65번지,대구광역시 서구 국채보상로 42 (중리동),
킹모터스,20120807,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 서구 중리동 1058-4번지,대구광역시 서구 와룡로 368 (중리동),
대남공업사,20120816,운영중,,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 278-6번지,,
대경금속,20120907,운영중,,,,,,,,,,금속 열처리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-29번지,대구광역시 서구 문화로 38-7 (이현동),
한라테크,20120917,운영중,,,,,,,,,,도금업,4종,,대기배출업소관리,대구광역시 서구 중리동 1054-1번지,대구광역시 서구 와룡로65길 14 (중리동),
지엔비오토모빌(주)대구서비스센터,20120919,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-559번지,대구광역시 서구 문화로 42 (이현동),
(주)태평양엔에이치,20120920,운영중,,,,,,,,,,금속 열처리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-501번지,대구광역시 서구 북비산로6길 34  (이현동),
제승YK,20121024,운영중,,,,,,,,,,기타 섬유제품 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 45-9번지,대구광역시 서구 국채보상로7길 24 (이현동),
알리다그룹(주),20121105,운영중,,,,,,,,,,간판 및 광고물 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-563번지,대구광역시 서구 문화로 38-7 (이현동),
(주)유창알앤씨,20121113,운영중,,,,,,,,,,폐기물 처리업,5종,,대기배출업소관리,대구광역시 서구 중리동 1075-1번지,대구광역시 서구 국채보상로20길 25  (중리동),
(주)동진분체,20130228,운영중,,,,,,,,,,도장 및 기타 피막처리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-575번지,대구광역시 서구 문화로 22-9 (이현동),
디와이컬러텍(주),20130306,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,대구광역시 서구 비산동 2024-51번지,대구광역시 서구 염색공단중앙로22길 29  (비산동),
(주)마르스,20130307,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-387번지,대구광역시 서구 와룡로99길 16 (이현동),
대광테프론,20130423,운영중,,,,,,,,,,도장및기타피막처리업,5종,,대기배출업소관리,대구광역시 서구 중리동 1065-2번지,대구광역시 서구 국채보상로20길 28  (중리동),
대광케미칼(주),20130611,운영중,,,,,,,,,,기타 화학제품 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-226번지,대구광역시 서구 와룡로87길 96 (이현동),
(주)코리아씨엔티,20130624,폐업 등,20170526,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 서구 비산동 1801-1번지,대구광역시 서구 염색공단천로1길 32 (비산동),
(주)성창에너지,20130712,운영중,,,,,,,,,,폐기물 처리업,4종,,대기배출업소관리,대구광역시 서구 중리동 1019-7번지,대구광역시 서구 국채보상로2길 27 (중리동),
AMP테크,20130712,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 중리동 1124번지,대구광역시 서구 와룡로66길 21 (중리동),
다일,20130716,운영중,,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-570번지,대구광역시 서구 와룡로99길 17 (이현동),
화성금속,20130807,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,,대구광역시 서구 와룡로99길 21 (이현동),
켐테크미드,20130807,운영중,,,,,,,,,,기초 무기화합물 제조업,4종,,대기배출업소관리,대구광역시 서구 중리동 1034-2번지,대구광역시 서구 와룡로73길 26 (중리동),
원모터스,20130829,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,,대구광역시 서구 국채보상로14길 29-15 (중리동),
(주)대호지피에스,20130926,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,,대구광역시 서구 염색공단천로11길 15 (비산동),
(주)해동섬유,20131129,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,,대구광역시 서구 와룡로66길 21 (중리동),
영진쇼트,20131212,운영중,,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,,대구광역시 서구 북비산로7길 14-4 (이현동),
(주)신흥환경금속,20140106,운영중,,,,,,,,,,금속 및 비금속 원료 재생업,5종,,대기배출업소관리,,대구광역시 서구 평리로35길 65-1 (중리동),
드림금속,20140113,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,,대구광역시 서구 염색공단천로8길 3 (비산동),
부광공업,20140226,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,,대구광역시 서구 국채보상로6길 18 (중리동),
중앙모터스(주) 이현지점,20140317,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-434번지,대구광역시 서구 와룡로 448 (이현동),
(주)미앤부티,20140326,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,,대구광역시 서구 와룡로73길 29 (중리동),
삼일,20140404,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2009-48번지,대구광역시 서구 염색공단중앙로12길 33 (비산동),
TF텍스츄어,20140528,운영중,,,,,,,,,,섬유 염색 및 가공업,5종,,대기배출업소관리,,대구광역시 서구 염색공단중앙로12길 16 (비산동),
(주)풍국면,20170921,운영중,,,,,,,,,,"면류, 마카로니 및 유사식품 제조업",4종,,대기배출업소관리,대구광역시 북구 노원동3가 373번지,대구광역시 북구 노원로 19 (노원동3가),
(주)엔유씨전자,20171113,운영중,,,,,,,,,,전자부품 제조업,5종,,대기배출업소관리,대구광역시 북구 침산동 679번지,대구광역시 북구 노원로 280 (침산동),
대원분체 주식회사,20180103,운영중,,,,,,,,,,그외 기타 특수목적용 기계 제조업,4종,,대기배출업소관리,대구광역시 달성군 구지면 수리리 1301-1번지,대구광역시 달성군 구지면 국가산단서로71길 135,
대아튜브,20180828,운영중,,,,,,,,,,축전지 제조업,5종,,대기배출업소관리,,대구광역시 달성군 다사읍 세천로1길 120,
진흥모델,20180305,운영중,,,,,,,,,,그외 기타 특수목적용 기계 제조업,5종,,대기배출업소관리,대구광역시 달서구 호산동 357-73번지 B동,"대구광역시 달서구 달서대로109길 73, B동 (호산동)",
원모터스,20180322,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 동구 각산동 293-8번지,대구광역시 동구 안심로59길 28 (각산동),
롯데케미칼 주식회사 대구공장,20180416,운영중,,,,,,,,,,액체 여과기 제조업,4종,,대기배출업소관리,대구광역시 달성군 구지면 응암리 1282-14번지,,
(주)삼우에이엘 제2공장,20180420,운영중,,,,,,,,,,"알루미늄 압연, 압출 및 연신제품 제조업",3종,,대기배출업소관리,대구광역시 달서구 월암동 1-91번지,대구광역시 달서구 성서공단남로 161 (월암동),
현대산업,20180503,운영중,,,,,,,,,,도장및기타피막처리업,4종,,대기배출업소관리,대구광역시 달성군 구지면 고봉리 229번지,대구광역시 달성군 구지면 국가산단동로42길 26-19,
정도전해연마,20180510,운영중,,,,,,,,,,기타 금속처리업,5종,,대기배출업소관리,대구광역시 북구 침산동 1066-3번지,대구광역시 북구 노원로40길 8-3 (침산동),
경원산업,20180525,운영중,,,,,,,,,,식품위생용 종이제품 제조업,5종,,대기배출업소관리,대구광역시 달성군 구지면 고봉리 226-4번지,대구광역시 달성군 구지면 국가산단동로42길 47,
(주)덕산,20180611,운영중,,,,,,,,,,기타 인쇄업,5종,,대기배출업소관리,대구광역시 달서구 대천동 595-10번지,대구광역시 달서구 성서로5길 70 (대천동),
(주)대호분체산업,20180611,운영중,,,,,,,,,,도장 및 기타 피막처리업,4종,,대기배출업소관리,대구광역시 달서구 호림동 2번지,대구광역시 달서구 달서대로91길 97 (호림동),
한영산업,20180716,운영중,,,,,,,,,,속도계 및 적산계기 제조업,5종,,대기배출업소관리,대구광역시 달성군 구지면 수리리 1301-3번지,대구광역시 달성군 구지면 국가산단서로71길 123,
(주)셰프링,20170821,운영중,,,,,,,,,,수동식 식품 가공기기 및 금속주방용기 제조업,4종,,대기배출업소관리,,대구광역시 달서구 달서대로64길 98 (대천동),
대한산업사,20170821,운영중,,,,,,,,,,산업용 비경화고무제품 제조업,5종,,대기배출업소관리,,대구광역시 달서구 성서공단북로69길 32-13 (장동),
(주)엠엠티에스엠,20180817,운영중,,,,,,,,,,기어 및 동력전달장치 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 611번지,대구광역시 달서구 성서공단남로10길 12 (대천동),
(주)가람,20160318,폐업 등,20160510,,,,,,,,,절삭가공 및 유사처리업,5종,,대기배출업소관리,,대구광역시 달서구 성서서로 80 (월암동),
로얄패션광학,20160322,운영중,,,,,,,,,,기타 제품 제조업,5종,,대기배출업소관리,대구광역시 북구 침산동 1026-4번지,대구광역시 북구 노원로40길 7-9 (침산동),
(주)아스트라코팅,20170113,운영중,,,,,,,,,,도장및기타피막처리업,5종,,대기배출업소관리,,대구광역시 달서구 성서공단로 21 (호림동),
