사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,방지시설연간가동일수,방지시설조업시간,배출시설연간가동일수,배출시설조업시간,업종명,종별명,주생산품명,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
퀸스휘트니스,20151127,운영중,,,,,,,,,,욕탕업,4종,,대기배출업소관리,,대구광역시 서구 평리로35길 20 (중리동),
대한특수고무,20180521,운영중,,,,,,,,,,고무제품 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-462번지,대구광역시 서구 국채보상로7길 42-12 (이현동),
송마디엠씨 주식회사,20180712,운영중,,,,,,,,,,그외 기타 자동차 부품 제조업,4종,,대기배출업소관리,대구광역시 달성군 구지면 내리 846-4번지,대구광역시 달성군 구지면 달성2차4로 5,
뉴글로벌모터스,20161128,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,,대구광역시 달서구 문화회관5길 54 (장기동),
한국도키멕(주) 대구공장,20180822,운영중,,,,,,,,,,그외 기타 일반목적용 기계 제조업,5종,,대기배출업소관리,대구광역시 달성군 구지면 응암리 1278-14번지,대구광역시 달성군 구지면 국가산단대로46길 23,
ZEST모터스,20161028,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 북구 침산동 790-1번지,대구광역시 북구 침산로 287 (침산동),
(주)떡파는사람들,20151229,운영중,,,,,,,,,,기타 식품 제조업,5종,,대기배출업소관리,대구광역시 달서구 갈산동 400-37번지,대구광역시 달서구 성서공단북로 250 (갈산동),
홈플러스(주)상인점,20151229,운영중,,,,,,,,,,대형 종합 소매업,5종,,대기배출업소관리,대구광역시 달서구 상인동 171-1번지,대구광역시 달서구 월배로 183 (상인동),
홈플러스(주)성서점,20151229,운영중,,,,,,,,,,기타 대형 종합 소매업,5종,,대기배출업소관리,대구광역시 달서구 용산동 230-11번지,대구광역시 달서구 달구벌대로 1467 (용산동),
상우모터스,20151026,운영중,,,,,,,,,,자동차 종합 수리업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-622번지,대구광역시 서구 북비산로6길 32-1 (이현동),
MJ칼라,20151026,운영중,,,,,,,,,,안경 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 678-2번지,대구광역시 북구 팔달북로3길 40 (노원동3가),
제이에스티,20150604,운영중,,,,,,,,,,기타 조립금속제품 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 212-8번지,대구광역시 북구 노원로17길 33-2 (노원동3가),
(주)에스티아이,20180426,운영중,,,,,,,,,,광학렌즈 및 광학요소 제조업,4종,,대기배출업소관리,대구광역시 달성군 다사읍 세천리 1668-2번지,대구광역시 달성군 다사읍 세천로7길 39,
(주)그랜드관광호텔,20151207,운영중,,,,,,,,,,,4종,,대기배출업소관리,,"대구광역시 수성구 동대구로 305 (범어동, 그랜드관광호텔)",
대구미술관,20151207,운영중,,,,,,,,,,,5종,,대기배출업소관리,,대구광역시 수성구 미술관로 40 (삼덕동),
동강산업,20160504,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 북구 침산동 866번지,대구광역시 북구 침산로67길 59 (침산동),
(주)센트랄DTS,20170120,운영중,,,,,,,,,,자동차용 동력전달장치 제조업,4종,,대기배출업소관리,대구광역시 달성군 구지면 창리 1376-5번지,대구광역시 달성군 구지면 국가산단대로39길 100,
광명테크,20170410,폐업 등,20180202,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 북구 침산동 1113-15번지,대구광역시 북구 노원로42길 48 (침산동),
삼진플라텍,20161209,운영중,,,,,,,,,,주형 및 금형 제조업,5종,,대기배출업소관리,대구광역시 달성군 논공읍 노이리 산 280-2번지,대구광역시 달성군 논공읍 노이1길 46-49,
삼익에이치디에스(주) 제2공장,20180810,운영중,,,,,,,,,,"플라스틱  적층, 도포 및 기타 표면처리 제품 제조업",5종,,대기배출업소관리,대구광역시 달성군 구지면 예현리 762-1번지,대구광역시 달성군 구지면 달성2차4로 114,
탈것자동차서비스센타,20180810,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 달서구 용산동 12번지,,
천주성삼병원,20151208,운영중,,,,,,,,,,,5종,,대기배출업소관리,,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",
(주)한라개발 한라스포랜드,20151208,운영중,,,,,,,,,,,4종,,대기배출업소관리,,대구광역시 수성구 욱수길 56 (욱수동),
하이텍,20160922,운영중,,,,,,,,,,안경 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 23번지,대구광역시 북구 3공단로 224-1 (노원동3가),
하나산업,20160922,운영중,,,,,,,,,,안경 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 34-13번지,"대구광역시 북구 노원로 139-11, 2층 (노원동3가)",
일신프라스틱(주),20180510,운영중,,,,,,,,,,플라스틱제품 제조업,5종,,대기배출업소관리,대구광역시 달성군 구지면 화산리 1097-3번지,대구광역시 달성군 구지면 국가산단북로 80,
(주)세양섬유,20180723,운영중,,,,,,,,,,"기타 섬유제품 염색, 정리 및 마무리 가공업",4종,,대기배출업소관리,대구광역시 달서구 대천동 601-13번지,대구광역시 달서구 성서로5길 46 (대천동),
미도씨에스,20151216,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 각산동 301-4번지,대구광역시 동구 안심로59길 16 (각산동),
(재)대구광역시 동구문화재단,20151216,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 효목동 1084번지,"대구광역시 동구 효동로2길 24 (효목동, 아양아트센터)",
한국무역협회대구경북지부,20151216,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 신천동 89-6번지,"대구광역시 동구 동대구로 489 (신천동, 대구무역회관)",
한영프론텍,20161011,운영중,,,,,,,,,,벽 및 바닥 피복용 플라스틱제품 제조업,5종,,대기배출업소관리,,대구광역시 달서구 성서로 37 (대천동),
신양금속(주),20161031,운영중,,,,,,,,,,그외 기타 자동차 부품 제조업,5종,,대기배출업소관리,대구광역시 달성군 논공읍 본리리 29-39번지,대구광역시 달성군 논공읍 논공중앙로 373,
칼라코트,20151123,운영중,,,,,,,,,,안경 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 51-1번지,대구광역시 북구 3공단로 204 (노원동3가),
나우씨앤티,20180201,운영중,,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 달서구 월암동 929-4번지,대구광역시 달서구 성서공단남로40길 10 (월암동),
(주)엠지택,20150821,운영중,,,,,,,,,,기타 비철금속 주조업,4종,,대기배출업소관리,대구광역시 달성군 논공읍 본리리 29-199번지,대구광역시 달성군 논공읍 논공중앙로 445,
대홍철강(주),20180618,운영중,,,,,,,,,,냉간 압연 및 압출 제품 제조업,5종,,대기배출업소관리,대구광역시 달성군 구지면 예현리 758-12번지,대구광역시 달성군 구지면 달성2차6로 29,
다코플렉 주식회사,20180618,운영중,,,,,,,,,,도장 및 기타 피막처리업,4종,,대기배출업소관리,대구광역시 달성군 논공읍 상리 727-2번지,대구광역시 달성군 논공읍 비슬로262길 35-34,
유공압산업 2공장,20180328,운영중,,,,,,,,,,유압기기 제조업,5종,,대기배출업소관리,대구광역시 달서구 월암동 1087-9번지,대구광역시 달서구 성서공단로58길 51 (월암동),
(주)삼주기업2공장,20170224,운영중,,,,,,,,,,자동차 차체용 부품 제조업,5종,,대기배출업소관리,,대구광역시 달서구 달서대로64길 25 (대천동),
두올텍스,20170502,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 이현동 45-10번지,대구광역시 서구 국채보상로7길 20 (이현동),
이화제면,20170502,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 이현동 45-10번지,대구광역시 서구 국채보상로7길 20 (이현동),
(주)평안,20170508,운영중,,,,,,,,,,침구 및 관련제품 제조업,5종,,대기배출업소관리,,대구광역시 달서구 성서로 71 (대천동),
중앙모터스(주) 대구 서구,20170526,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 이현동 42-599번지,대구광역시 서구 와룡로 427 (이현동),
세광라바,20170607,폐업 등,20180625,,,,,,,,,그외 기타 고무제품 제조업,5종,,대기배출업소관리,,대구광역시 달서구 달서대로109길 135 (파호동),
백광제면,20170609,운영중,,,,,,,,,,섬유제품 제조업 봉제의복 제외,5종,,대기배출업소관리,,대구광역시 동구 경안로106길 38 (동호동),
현대칼라,20151022,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 북구 노원동3가 74-2번지,대구광역시 북구 노원로25길 31-1 (노원동3가),
(의)운경의료재단 곽병원,20151105,운영중,,,,,,,,,,병원,4종,,대기배출업소관리,,"대구광역시 중구 국채보상로 531 (수동, 곽병원)",
대구가톨릭대학교대신학원,20151023,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 중구 남산동 219번지 대구가톨릭대학교신학대학,"대구광역시 중구 명륜로12길 47, 대구가톨릭대학교신학대학 (남산동)",
화성정밀코팅,20150701,운영중,,,,,,,,,,도장및기타피막처리업,4종,,대기배출업소관리,대구광역시 달서구 갈산동 260-6번지,대구광역시 달서구 성서공단로39길 77 (갈산동),
(주)SJ테크 2공장,20171030,운영중,,,,,,,,,,이동전화기 제조업,5종,,대기배출업소관리,대구광역시 달서구 대천동 1006번지,대구광역시 달서구 성서4차첨단로 57 (대천동),
(주)한특이피 대구공장,20171227,운영중,,,,,,,,,,그외 기타 자동차 부품 제조업,5종,,대기배출업소관리,대구광역시 달성군 구지면 창리 1376-1번지,대구광역시 달성군 구지면 국가산단서로50길 66,
대구가톨릭대학교의료원,20150630,운영중,,,,,,,,,,,3종,,대기배출업소관리,대구광역시 남구 대명동 3056-6번지 대구가톨릭의과대학병원,대구광역시 남구 두류공원로17길 33  (대명동),
(주)홈스파월드,20151201,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 남구 봉덕동 1329-73번지 홈스파월드,대구광역시 남구 앞산순환로 651  (봉덕동),
순복음대구교회,20151211,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 남구 대명동 1114-10번지 순복음대구교회,대구광역시 남구 성당로 56-3  (대명동),
(주)대구백화점이천빌딩,20151218,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 남구 이천동 214-433번지,대구광역시 남구 명덕로 332  (이천동),
(주)이랜드파크프린스호텔,20151222,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 남구 대명동 1824-1번지 프린스호텔,대구광역시 남구 명덕로 150  (대명동),
대구문화예술회관,20151123,운영중,,,,,,,,,,공연시설 운영업,5종,,대기배출업소관리,대구광역시 달서구 성당동 187번지,대구광역시 달서구 공원순환로 201 (성당동),
청안에폭시,20151130,운영중,,,,,,,,,,안경 제조업,5종,,대기배출업소관리,대구광역시 북구 노원동3가 1157-9번지,대구광역시 북구 오봉로 93-10 (노원동3가),
계명대학교동산의료원,20151026,운영중,,,,,,,,,,,4종,,대기배출업소관리,,"대구광역시 중구 달성로 56 (동산동, 계명대학교동산의료원)",
계명대학교,20151116,운영중,,,,,,,,,,대학교,4종,,대기배출업소관리,대구광역시 달서구 신당동 1000-2번지,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교)",
