사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,폐기물구분명,인허가구분명,폐기물처리업구분명,폐기물처리업별처리구분명,허용보관량,허용보관량내용,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
(주)우경환경,20040211,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본리동 369-4번지,대구광역시 달서구 와룡로16길 37 (본리동),704180
대홍환경,20040902,폐업 등,20070130,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본동 757-2번지 호창빌 204호,"대구광역시 달서구 구마로26안길 64  (본동,호창빌 204호)",704350
(주)디앤지산업,20100318,폐업 등,20100318,,,,,건설폐기물,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 호산동 715-19번지,"대구광역시 달서구 성서공단로11길 96-16, 401호 (호산동)",
(주)대동중기,20050805,폐업 등,20080201,,,,,건설폐기물,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 죽전동 273-6번지,대구광역시 달서구 달구벌대로 1547  (죽전동),704932
운경환경(주),20140409,폐업 등,20140408,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본동 1005-1번지,대구광역시 달서구 와룡로 32 (본동),704807
일광환경,20170728,폐업 등,20170727,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월성동 1806번지,대구광역시 달서구 월곡로99길 41 (월성동),
대흥환경,20120518,폐업 등,20120518,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 송현동 2008-17번지,대구광역시 달서구 중흥로 47 (송현동),704822
(주)대진환경,20060720,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 용산동 595-5번지,대구광역시 달서구 선원로 273 (용산동),704934
(주)대호 환경산업,19951207,폐업 등,20001113,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 진천동 622-2번지,대구광역시 달서구 월배로 64  (진천동),704360
(주)세명산업개발,19960516,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 장기동 555-5번지,대구광역시 달서구 장기로 251-1 (장기동),704180
(주)동우기업,19960911,폐업 등,20031016,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 감삼동 170-1번지,,704150
대보환경산업(주),19961201,폐업 등,20010219,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 이곡동 1000-52번지,대구광역시 달서구 성서로76길 11  (이곡동),704140
해동환경산업(주),19970220,폐업 등,20020524,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 죽전동 373-9번지,대구광역시 달서구 와룡로 257  (죽전동),704160
(주)성일산업,20130710,폐업 등,20130710,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본동 771-1번지 본리빌딩 5층,"대구광역시 달서구 구마로 112  (본동,본리빌딩 5층)",704807
구일환경(주),19980112,폐업 등,20020401,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 상인동 1554-4번지,대구광역시 달서구 상인서로 10  (상인동),704370
동양환경(주),19981127,폐업 등,20010225,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 죽전동 364-26번지,대구광역시 달서구 평리로 100  (죽전동),704160
경동환경,19960601,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 송현동 109번지,대구광역시 달서구 학산로 211 (송현동),704917

