사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,폐기물구분명,인허가구분명,폐기물처리업구분명,폐기물처리업별처리구분명,허용보관량,허용보관량내용,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
청우환경,20030729,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 논공읍 북리 803-69번지,대구광역시 달성군 논공읍 논공로15길 16-14,711857
대덕환경산업(주),20130802,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,대구광역시 달성군 하빈면 하산길 129-52,
(주)태산파우텍,20120925,폐업 등,20130611,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 화원읍 천내리 107-27번지,,711834
세계환경(주),20121127,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 현풍면 원교리 722번지,대구광역시 달성군 현풍면 현풍서로 90,
성원도시개발(주),20160121,운영중,,,,,,,허가,중간처분업(건설폐기물),,20179,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 현풍면 원교리 749-2번지,대구광역시 달성군 현풍면 현풍서로 122,
(주)비슬환경,,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 현풍면 원교리 87-1번지,대구광역시 달성군 현풍면 비슬로128길 11,711874
(주)성지이테크,20110325,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 화원읍 천내리 156-1번지 외 1필지,"대구광역시 달성군 화원읍 사문진로 447, 3층",711834
열린환경(주),20040506,운영중,,,,,,,허가,수집운반업(건설폐기물),,145,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 화원읍 명곡리 198-4번지,"대구광역시 달성군 화원읍 성화로 18, 2층 (열린빌딩)",711832
(주)한신기업,20060203,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 구지면 가천리 513번지,대구광역시 달성군 구지면 비슬로 167,711891
(주)동진골재,20110207,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 논공읍 남리 48-1번지,대구광역시 달성군 논공읍 비슬로 1100,711852
부성산업(주),20111102,폐업 등,20111026,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 옥포면 본리리 2416-4번지,,711845
(주)태성환경,20121126,폐업 등,20121126,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 다사읍 매곡리 302-1번지 동서타운 102-1201,대구광역시 달성군 다사읍 왕선로 49  (동서타운 102-1201),711812
성실환경,20100607,폐업 등,20100603,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 화원읍 설화리 608-2번지,대구광역시 달성군 화원읍 옥터길 23,711833
대한환경산업(주),20160104,운영중,,,,,,,허가,중간처분업(건설폐기물),,12633.6,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 구지면 징리 235번지,대구광역시 달성군 구지면 구지서로10길 19,711893
(주)제일산업개발,20131218,폐업 등,20131218,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 논공읍 노이리 706번지,대구광역시 달성군 논공읍 노이길 368,711856
(주)성종건설,20091224,폐업 등,20091224,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 현풍면 성하리 127-10번지,,711872
화원환경,20130311,폐업 등,20130311,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 화원읍 천내리 454-5번지,대구광역시 달성군 화원읍 비슬로 2602,711834
(주)태백개발,20051212,폐업 등,20060123,,,,,건설폐기물,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 화원읍 천내리 45-12번지,,711834
(주)청토산업,20070126,폐업 등,20071231,,,,,건설폐기물,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 화원읍 천내리 108-3번지,,711834
(주)영광환경,20070213,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 현풍면 원교리 794-2번지,대구광역시 달성군 현풍면 현풍서로 122,711874
고려금속자원,20070413,폐업 등,20080111,,,,,건설폐기물,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달성군 옥포면 간경리 856번지,,711841
