사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,복지시설종류,복지시설종류명,정제지번주소,정제도로명주소,정제우편번호
한솔홈케어,20180401,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 칠성동2가,,
한솔노인요양센터,20180401,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 칠성동2가,,
새생활노인복지센터,20120824,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
명인실버홈요양1센터,20130109,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 봉덕동,,
예람요양센터,20130215,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
앞산노인공동생활가정,20130618,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
온누리요양타운C,20130828,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
남대구1요양센터,20110311,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 1652-21번지 성경빌딩 4층,,
남대구2요양센터,20110311,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 1652-21번지 성경빌딩 4층,,
온누리요양타운A,20110809,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 3049-4번지,,
온누리요양타운B,20110809,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 3049-4번지 4층,,
예람실버홈,20120130,휴업 등,,20180518,20200517,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
고은손노인요양센터,20120608,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
만수노인요양센터,20091104,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 724-41번지,,
연화요양복지센터,20100114,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 493-23번지,,
서원노인요양센터,20100212,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 3044-17번지,,
새생활노인복지센터,20100315,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 285-1번지,,
영문대노인요양공동생활가정,20100315,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동 2142-11번지,,
