"행정구역(구군)별(1)",2016,2016,2016,2016,2016,2016
"행정구역(구군)별(1)",합계,입목지,입목지,입목지,입목지,무입목지
"행정구역(구군)별(1)",소계,침엽수림,활엽수림,혼효림,죽림,소계
"합계",48705,21600,10443,16302,103,257
"중구",-,-,-,-,-,-
"동구",11410,5229,1897,4197,6,81
"서구",206,32,110,57,-,7
"남구",679,295,146,236,-,2
"북구",4619,2482,841,1265,3,28
"수성구",3802,1306,1104,1341,2,49
"달서구",2136,881,561,668,1,25
"달성군",25853,11375,5784,8538,91,65
