"특성별(1)",특성별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"특성별(1)",특성별(2),국가안보,국가안보,국가안보,자연재해,자연재해,자연재해,건축물 및 시설물,건축물 및 시설물,건축물 및 시설물,교통사고,교통사고,교통사고,화재,화재,화재,산업 재해,산업 재해,산업 재해,식량 안보,식량 안보,식량 안보,정보 보안,정보 보안,정보 보안,신종 전염병,신종 전염병,신종 전염병,범죄 위험,범죄 위험,범죄 위험,전반적인 사회안전,전반적인 사회안전,전반적인 사회안전
"특성별(1)",특성별(2),안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안,안전,보통,불안
"연령별",60세 이상,24.1,45.1,30.8,24.1,56.4,19.5,23.7,62.0,14.3,11.9,49.4,38.7,15.7,60.4,24.0,14.6,63.3,22.1,23.8,60.2,15.9,12.6,56.8,30.7,13.5,48.6,37.9,10.4,41.3,48.3,13.6,61.7,24.6
"교육정도",초졸이하,20.3,48.2,31.4,21.3,57.2,21.4,20.0,63.8,16.2,10.4,49.3,40.4,14.1,62.0,23.9,12.7,64.6,22.6,22.1,61.9,16.0,11.8,61.3,27.0,12.2,50.4,37.4,9.1,42.4,48.4,11.5,62.5,26.0
"교육정도",중졸,23.8,46.7,29.4,24.0,56.7,19.4,22.3,63.5,14.2,11.3,49.4,39.3,15.7,60.0,24.3,14.4,63.2,22.3,22.9,61.3,15.7,12.2,54.2,33.6,13.5,49.5,37.0,9.0,42.0,49.0,12.4,61.0,26.5
"교육정도",고졸,22.6,48.7,28.7,23.0,56.9,20.1,21.5,63.8,14.7,9.8,51.1,39.2,14.2,62.9,22.9,12.8,62.9,24.3,20.2,61.2,18.5,10.3,48.6,41.1,11.8,48.7,39.6,8.8,39.0,52.2,11.5,58.6,29.9
"교육정도",대졸이상,23.8,44.6,31.5,25.3,54.3,20.3,25.1,59.1,15.9,10.3,48.7,41.0,16.2,62.0,21.7,13.9,59.7,26.4,22.4,57.8,19.9,10.7,40.8,48.5,13.5,46.1,40.3,9.8,35.5,54.7,13.7,54.2,32.1
"직업별",전문 관리,25.0,46.0,29.0,24.6,55.0,20.4,25.0,58.8,16.1,11.0,48.7,40.3,15.7,62.2,22.0,14.5,59.2,26.3,22.3,56.4,21.3,9.5,41.3,49.1,13.7,45.1,41.2,9.7,38.4,51.9,14.3,54.4,31.3
"직업별",사무,22.1,46.6,31.4,23.9,54.6,21.5,25.3,58.6,16.0,9.1,49.8,41.2,16.7,60.1,23.2,13.3,58.4,28.3,21.9,56.2,21.9,9.2,40.5,50.4,11.3,46.2,42.6,8.2,34.6,57.1,12.7,55.7,31.6
"직업별",서비스 판매,24.3,46.8,28.9,24.1,54.9,21.0,22.2,62.5,15.3,9.6,48.5,41.8,14.4,63.0,22.6,12.5,63.4,24.1,19.2,61.5,19.3,9.9,44.3,45.8,12.0,46.6,41.5,8.7,37.1,54.2,11.5,55.9,32.6
"직업별",기능 노무 등,24.5,47.3,28.2,23.7,55.5,20.8,22.4,61.1,16.5,9.6,49.4,41.1,15.2,59.6,25.2,13.0,58.0,29.0,21.0,60.2,18.7,11.4,48.7,39.8,12.9,47.8,39.3,9.7,38.5,51.8,12.4,57.1,30.5
"혼인상태",미혼,20.8,47.2,32.0,25.2,56.5,18.3,23.3,61.5,15.1,10.1,50.0,39.9,15.5,64.4,20.2,13.4,62.5,24.1,21.9,60.1,18.0,11.2,43.1,45.6,14.1,50.8,35.2,9.4,37.5,53.1,12.9,56.2,30.9
"혼인상태",유배우,24.2,46.0,29.9,23.7,55.1,21.3,23.3,61.3,15.4,10.2,49.2,40.7,15.3,60.9,23.9,13.5,60.5,26.0,21.6,58.9,19.5,10.2,46.7,43.1,12.2,45.4,42.3,9.1,37.2,53.7,12.5,56.8,30.7
"혼인상태",사별,22.9,46.5,30.6,22.7,56.7,20.5,21.5,62.8,15.7,11.1,49.8,39.1,15.3,61.7,23.0,14.5,64.6,20.9,22.7,62.6,14.7,13.3,60.5,26.2,13.2,52.4,34.4,10.5,43.9,45.5,13.1,62.6,24.4
"혼인상태",이혼,23.5,49.9,26.7,22.0,57.8,20.2,20.2,63.5,16.3,10.5,52.0,37.5,14.8,63.4,21.9,12.9,65.6,21.5,19.9,62.6,17.5,11.8,53.7,34.4,11.7,50.7,37.6,10.0,43.3,46.7,11.9,61.0,27.2
