사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,건축연면적,기념품종류명,기획여행보험시작일자,기획여행보험종료일자,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,시설규모,시설면적,안내소유무,영문상호명,의무실유무,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
푸른방송 아트홀,20030106,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 감삼동 68-4번지,"대구광역시 달서구 달구벌대로 1611 (감삼동, 푸른방송)",704953
이월드 대공연장,20030107,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 두류동 산 302-11번지,대구광역시 달서구 두류공원로 200 (두류동),704063
청소년수련원 아트홀,20030225,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 송현동 702번지,"대구광역시 달서구 앞산순환로 180 (송현동, 청소년수련원)",704827
대구학생문화센터 대공연장,20030507,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 용산동 230-6번지,"대구광역시 달서구 용산로 181 (용산동, 대구학생문화센터)",704923
웃는얼굴아트센터 청룡홀,20041221,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 장기동 722-1번지,"대구광역시 달서구 문화회관길 160 (장기동, 웃는얼굴아트센터)",
베네,20120605,폐업 등,20140320,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 도원동 692-1번지,"대구광역시 달서구 월곡로 92, 가동 (도원동)",704802
웃는얼굴아트센터 와룡홀,20130927,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 장기동 722-1번지,대구광역시 달서구 문화회관길 160 (장기동),704945
달성문화원공연장,20040910,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,자연녹지지역,대구광역시 달성군 현풍면 상리 627번지,대구광역시 달성군 현풍면 현풍동로 92,711873
백년홀(달성문화센터),20120120,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,자연녹지지역,대구광역시 달성군 다사읍 매곡리 1515-3번지,대구광역시 달성군 다사읍 대실역북로2길 188,711812
소극장 소금창고,20180330,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 2131-2번지,"대구광역시 남구 계명중앙1길 48, 지하1층 (대명동)",
빈티지소극장,20150316,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,주택가주변,중심상업지역,대구광역시 남구 대명동 2531-3번지,대구광역시 남구 성당로60길 90 (대명동),705823
소극장 함세상,20150422,운영중,,,,,,단독주택,,,,,,공연장,공연장,,,,,,,,,,,,주택가주변,일반주거지역,대구광역시 남구 대명동 2133-60번지,대구광역시 남구 명덕로 98-2 (대명동),705822
떼아뜨르 분도(분도소극장),20160317,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 대봉동 40-62번지,대구광역시 중구 동덕로 36-15 (대봉동),
경대로 소극장 냄비,20171228,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 북구 복현동 681번지,대구광역시 북구 경대로 109 (복현동),
영남아트홀,20180129,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 2529-3번지,대구광역시 남구 명덕로20길 16 (대명동),
열린공간 큐,19980918,폐업 등,20051031,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 수성구 수성동4가 1236-59번지,대구광역시 수성구 달구벌대로 2261  (수성동4가),706836
수성 아트홀,19990421,폐업 등,20040813,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 수성구 범물동 1273번지,대구광역시 수성구 지범로 191  (범물동),706813
꾀꼬리 극장,20030123,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 수성구 황금동 626번지,대구광역시 수성구 동대구로 176 (황금동),706852
수성아트피아   용지홀,20070425,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,자연녹지지역,대구광역시 수성구 지산동 1137-3번지,대구광역시 수성구 무학로 180 (지산동),706843
수성아트피아  무학홀,20070425,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,자연녹지지역,대구광역시 수성구 지산동 1137-3번지,대구광역시 수성구 무학로 180 (지산동),706843
대구메트로아트센터,20090911,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 수성구 연호동 186-5번지 대공원역 지하2층,,706200
가락아트홀,20100308,폐업 등,20161124,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 수성구 범물동 1321-8번지 지하1층,대구광역시 수성구 지범로 247 (범물동),706813
대구신세계 문화홀,20161212,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 동구 신천동 1506번지,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",
대구광역시 서구문화회관,20021226,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,자연녹지지역,대구광역시 서구 이현동 48-144번지,대구광역시 서구 당산로 403 (이현동),703830
아트플러스씨어터2관,20150618,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 공평동 16-6번지 지하1층,대구광역시 중구 동성로3길 89 (공평동),700150
대안문화공간아트센터 고리,20150721,폐업 등,20161230,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 남산동 582-7번지,대구광역시 중구 명륜로12길 21 (남산동),700835
여우별 아트홀,20151028,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 15-3번지,"대구광역시 중구 동성로3길 35, 4층 (삼덕동1가)",
대구광역시 북구 어울아트센터,20030305,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,아파트지역,자연녹지지역,대구광역시 북구 관음동 1372번지 (구암로 47),대구광역시 북구 구암로 47 (관음동),702803
(재)대구광역시 북구청소년회관,20030221,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,자연녹지지역,대구광역시 북구 산격동 120번지,"대구광역시 북구 검단로 71-17 (산격동, 북구청소년회관)",
스펙트림씨티 아트홀,20030121,폐업 등,20081106,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,아파트지역,중심상업지역,대구광역시 북구 칠성동2가 20번지,대구광역시 북구 침산로 93 (칠성동2가),702851
동아아트홀,20030305,폐업 등,20180306,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,중심상업지역,대구광역시 북구 읍내동 1343-6번지,"대구광역시 북구 칠곡중앙대로 416 (읍내동, 동아아울렛 강북점)",
대구오페라하우스,20030807,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,아파트지역,주거지역,대구광역시 북구 칠성동2가 115번지,대구광역시 북구 호암로 15 (칠성동2가),702851
예전,20040812,폐업 등,20151224,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 북구 칠성동2가 20번지,대구광역시 북구 침산로 93 (칠성동2가),702851
천락,20110916,폐업 등,20120619,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 북구 읍내동 1090번지 (구암로 21길 41),대구광역시 북구 구암로21길 41 (읍내동),702850
대덕문화전당,20021226,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,녹지지역,대구광역시 남구 대명동 산 201-4번지,대구광역시 남구 앞산순환로 478 (대명동),705804
우봉아트홀,20051209,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 봉덕동 1322-1번지,대구광역시 남구 효성로 37 (봉덕동),705832
한울림소극장,20111228,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 2130-6번지,대구광역시 남구 계명중앙1길 35-1 (대명동),705033
