사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,공연장형태구분명,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,소방시설여부,시설면적,음향시설여부,자동환기여부,제작취급품목내용,조명시설유무,조명시설조도정보,주변환경명,지역구분명,청소년실여부,최초등록시점,통로너비,특수조명여부,편의시설여부,품목명,정제지번주소,정제도로명주소,정제우편번호
개나리비디오감상실,19990707,폐업 등,20040603,,,,,근린생활시설,,유통관련업,비디오물감상실업,,자동,,,,115,,,,,,,,,,,,,,대구광역시 남구 대명동 1637-12번지,대구광역시 남구 대명로 125  (대명동),705810
카스비디오감상실,19990707,폐업 등,20040510,,,,,근린생활시설,,유통관련업,비디오물감상실업,,자동,,,,122,,,,,,,,,,,,,,대구광역시 남구 대명동 1225-3번지,대구광역시 남구 성당로 46  (대명동),705815
무림비디오감상실,19990707,폐업 등,20041230,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,120,,,,,,,,,,,,,,대구광역시 남구 대명동 1141-2번지,대구광역시 남구 월배로 474  (대명동),
조조할인비디오감상실,19991221,폐업 등,20090414,,,,,근린생활시설,,유통관련업,비디오물감상실업,,자동,,,,117.08,,,,,,,상업지역,,,,,,,대구광역시 남구 대명동 2276-3번지,대구광역시 남구 명덕로 56  (대명동),705823
DVD방 영화속으로,20001009,폐업 등,20110607,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,132.46,,,,,,,상업지역,,,,,,,대구광역시 남구 대명동 1140-2번지,대구광역시 남구 월배로 478  (대명동),
SKY DVD 영화관,20031112,폐업 등,20121024,,,,,,,,비디오물감상실업,,,,,,131.58,,,,,,,,,,,,,,대구광역시 남구 대명동 1140-2번지,대구광역시 남구 월배로 478  (대명동),
동서DVD영화감상실,20110329,폐업 등,20120612,,,,,근린생활시설,,,비디오물감상실업,,,,,,197.38,,,,,,기타,근린상업지역,,,,,,,대구광역시 남구 대명동 810-2번지,대구광역시 남구 두류공원로 11  (대명동),
오렌지,19960910,폐업 등,20090306,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 18-11번지,대구광역시 중구 동성로5길 41  (삼덕동1가),700411
준,19960910,폐업 등,20060224,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 16-21번지,대구광역시 중구 동성로6길 45  (공평동),700150
동성,19960910,폐업 등,20050915,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 사일동 59번지,대구광역시 중구 동성로 25  (사일동),700040
명화마을,19960910,폐업 등,20040727,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 남일동 77-2번지,대구광역시 중구 중앙대로 412-6  (남일동),700060
시네마 2,19960918,폐업 등,20040816,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동문동 34-1번지,대구광역시 중구 경상감영길 164  (동문동),700180
빠삐용,19960923,폐업 등,20040907,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 53-4번지,대구광역시 중구 동성로2길 59  (공평동),700150
스타,19961001,폐업 등,20080204,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 133-1번지,대구광역시 중구 동성로 14  (동성로2가),700092
유토피아,19961001,폐업 등,,,,,,,,,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 131-1번지,대구광역시 중구 중앙대로 394-13  (동성로2가),
아카데미,19961001,폐업 등,20030106,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 59-4번지,대구광역시 중구 동성로6길 52  (공평동),700150
키노비디오,19961001,폐업 등,20060414,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 130-1번지,대구광역시 중구 동성로 13  (동성로2가),700092
깐느,19961004,폐업 등,20070328,,,,,,,유통관련업,비디오물감상실업,,자동,,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 7-2번지,대구광역시 중구 동성로5길 32  (삼덕동1가),700411
