사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,공연장형태구분명,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,소방시설여부,시설면적,음향시설여부,자동환기여부,제작취급품목내용,조명시설유무,조명시설조도정보,주변환경명,지역구분명,청소년실여부,최초등록시점,통로너비,특수조명여부,편의시설여부,품목명,정제지번주소,정제도로명주소,정제우편번호
영화보기,19970307,폐업 등,20150617,,,,,,,,비디오물감상실업,,자동,,,,147.08,,,,,,,,,,,,,,대구광역시 달서구 두류동 145-21번지 (지하1층),대구광역시 달서구 야외음악당로 239 (두류동),
조이플러스영화보기,19970411,폐업 등,20040331,,,,,,,유통관련업,비디오물감상실업,,자동,,,,217.16,,,,,,,,,,,,,,대구광역시 달서구 신당동 1790-5번지,대구광역시 달서구 계대동문로 8  (신당동),704922
필림돌리기비디오감상실,20000726,폐업 등,20100715,,,,,,,,비디오물감상실업,,자동,,,,161.7,,,,,,,,,,,,,,대구광역시 달서구 신당동 1790-2번지 (지하1층),"대구광역시 달서구 계대동문로 4  (신당동,(지하1층))",
컴앤씨비디오감상실,20001113,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,171.66,,,,,,,,,,,,,,대구광역시 달서구 신당동 1790-3번지 (4층),"대구광역시 달서구 계대동문로 6, 4층 (신당동)",
맥스,20000928,폐업 등,20141231,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,161.43,,,,,,,,,,,,,,대구광역시 달서구 신당동 1721-15번지 (5층),"대구광역시 달서구 계대동문로 9, 5층 (신당동)",
베스트DVD영화관,20010224,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,156.99,,,,,,,일반주거지역,,,,,,,대구광역시 달서구 신당동 1790-1번지 (지하1층),대구광역시 달서구 계대동문로 2 (신당동),
크림디브디감상실,20011012,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,154.23,,,,,,학교정화(상대),주거지역,,,,,,,대구광역시 달서구 신당동 1721-8번지 (3층),대구광역시 달서구 서당로9길 35 (신당동),
엠에이디,20020617,폐업 등,20100420,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,101.55,,,,,,,,,,,,,,대구광역시 달서구 송현동 1041-3번지 (2층),"대구광역시 달서구 월배로 487  (송현동,(2층))",
킹디브디영상방,20030211,폐업 등,20081211,,,,,근린생활시설,,유통관련업,비디오물감상실업,,자동,,,,201.48,,,,,,,일반주거지역,,,,,,,대구광역시 달서구 신당동 1721-20번지 (2층),"대구광역시 달서구 계대동문로 1  (신당동,(2층))",704921
야후스카이디지털영화관,20040514,폐업 등,20180126,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,227.5,,,,,,기타,준주거지역,,,,,,,대구광역시 달서구 호산동 360번지 (4층),대구광역시 달서구 호산동로 186 (호산동),
GOOD디지털영화관,20040528,폐업 등,20130122,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,224.5,,,,,,기타,준주거지역,,,,,,,대구광역시 달서구 호산동 353-5번지 (2층),"대구광역시 달서구 호산동로 187  (호산동,(2층))",
팝스DVD영화관,20040702,폐업 등,20140818,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,251.31,,,,,,기타,일반상업지역,,,,,,,대구광역시 달서구 송현동 1041-1번지 (2층),"대구광역시 달서구 월배로 491  (송현동,(2층))",
sky(스카이)디지털영화관,20060425,폐업 등,20150608,,,,,근린생활시설,,,비디오물감상실업,,수동,,,,155.59,,,,,,기타,일반주거지역,,,,,,,대구광역시 달서구 신당동 1790-18번지 (지상3층),"대구광역시 달서구 서당로7길 48 (신당동,(지상3층))",
시네마엠디브디방,20071206,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,188.28,,,,,,기타,일반주거지역,,,1.05,,,,대구광역시 달서구 두류동 496-10번지 (3층),"대구광역시 달서구 달구벌대로344길 34 (두류동, 두류3동우체국)",
테이크파이브(take5),20080425,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,204.25,,,,,,학교정화(상대),주거지역,,,,,,,대구광역시 달서구 신당동 1721-12번지 (3층),대구광역시 달서구 계대동문로 13 (신당동),
알라무 디비디방,20080506,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,197.37,,,,,,학교정화(상대),,,,,,,,대구광역시 달서구 신당동 1721-13번지 (3층),"대구광역시 달서구 계대동문로 11-1, 3층 (신당동)",
DVD 테이크 파이브,20091204,운영중,,,,,,근린생활시설,,,비디오물감상실업,,,,,,205.6,,,,,,유흥업소밀집지역,,,,,,,,대구광역시 달서구 성당동 263-2번지 (3층),대구광역시 달서구 구마로 247 (성당동),
씨디브이디(SEE DVD),20100212,운영중,,,,,,근린생활시설,,,비디오물감상실업,,,,,,224.96,,,,,,학교정화(상대),,,,,,,,대구광역시 달서구 신당동 1790-10번지 (4층),대구광역시 달서구 계대동문로 16 (신당동),
오드리헵번DVD,20100528,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,231.78,,,,,,학교정화(상대),일반주거지역,,,,,,,대구광역시 달서구 신당동 1721-1번지 (5층),"대구광역시 달서구 서당로9길 55, 5층 (신당동)",
더엔젤DVD영화감상실,20130828,운영중,,,,,,근린생활시설,,,비디오물감상실업,,,,,,221.8,,,,,,기타,근린상업지역,,,,,,,대구광역시 달서구 두류동 494-17번지 5층,"대구광역시 달서구 달구벌대로 1706, 5층 (두류동)",
모래시계비디오 감상실,19960913,폐업 등,20030703,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,108.75,,,,,,학교정화(상대),일반상업지역,,,1.2,,,,대구광역시 수성구 만촌동 1040-39번지,대구광역시 수성구 청호로96길 37  (만촌동),706808
신촌비디오 방,19970212,폐업 등,20050526,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,94.1,,,,,,주택가주변,일반주거지역,,,0.9,,,,대구광역시 수성구 만촌동 851-6번지,대구광역시 수성구 달구벌대로528길 14  (만촌동),706808
블루비디오 감상실,19990125,폐업 등,20030625,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,87.4,,,,,,주택가주변,주거지역,,,1.2,,,,대구광역시 수성구 만촌동 855-30번지,대구광역시 수성구 달구벌대로528길 9-1  (만촌동),706808
현비디오 감상실,19991214,폐업 등,20060620,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,111.05,,,,,,학교정화(상대),일반주거지역,,,12,,,,대구광역시 수성구 만촌동 848-14번지,대구광역시 수성구 달구벌대로522길 12  (만촌동),706808
신비비디오 휴게실,20010813,폐업 등,20050801,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,142.95,,,,,,주택가주변,일반주거지역,,,1.2,,,,대구광역시 수성구 만촌동 852-23번지,대구광역시 수성구 달구벌대로528길 12  (만촌동),706808
이숍비디오 방,20011231,폐업 등,20080414,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,149.35,,,,,,유흥업소밀집지역,근린상업지역,,,1.2,,,,"대구광역시 수성구 지산동 1288-24번지 404,405호","대구광역시 수성구 지범로 181,  404,405호 (지산동)",706839
1004비디오 방,20020523,폐업 등,20060509,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,231.75,,,,,,유흥업소밀집지역,일반상업지역,,,1.2,,,,대구광역시 수성구 지산동 1288-16번지 서홍빌딩 5층,"대구광역시 수성구 지범로31길 6  (지산동,서홍빌딩 5층)",706839
홈비디오 방,20020725,폐업 등,20040719,,,,,근린생활시설,,유통관련업,비디오물감상실업,,수동,,,,93.61,,,,,,유흥업소밀집지역,일반상업지역,,,1.2,,,,대구광역시 수성구 범물동 1334번지 청구리빙월드 507호,"대구광역시 수성구 지범로 188,  507호 (범물동,청구리빙월드)",706814
시네마 DVD,20040813,운영중,,,,,,근린생활시설,,유통관련업,비디오물감상실업,,,,,,93.61,,,,,,,,,,,,,,대구광역시 수성구 범물동 1334번지,대구광역시 수성구 지범로 188  (범물동),706814
다비드 D.V.D 영화관,20051021,운영중,,,,,,,,,비디오물감상실업,,,,,,142.95,,,,,,,,,,,,,,대구광역시 수성구 만촌동 852-23번지 3층,"대구광역시 수성구 달구벌대로528길 12 (만촌동,3층)",
SKY DVD 영화관,20060901,폐업 등,20170628,,,,,근린생활시설,,,비디오물감상실업,,,,,,270.5,,,,,,,일반상업지역,,,,,,,대구광역시 수성구 지산동 1276-12번지 3층,"대구광역시 수성구 지범로31길 3 (지산동,3층)",
볼까 DVD방,20090713,폐업 등,20121128,,,,,근린생활시설,,,비디오물감상실업,,,,,,82.46,,,,,,,,,,,,,,대구광역시 북구 태전동 253-3번지,,

