사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물소유구분명,년도,다중이용업소여부,발한실여부,욕실수,위생업종명,위생업태명,정제지번주소,정제도로명주소,정제우편번호
용비어천가,20030429,운영중,,,,,2259.00,자가,2003,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 동구 검사동 944-31번지,대구광역시 동구 동촌로 137 (검사동),701860
궁전라벤더,20020130,운영중,,,,,"3,751.70",자가,2002,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 동구 신암동 214-12번지,대구광역시 동구 아양로 52 (신암동),701815
고려목욕탕,19970814,운영중,,,,,"1,487.60",자가,1997,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 동구 방촌동 1084-668번지,대구광역시 동구 화랑로80길 59 (방촌동),701804
파크사우나헬스,19990305,폐업 등,20180806,,,,"1,874.26",자가,1999,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 동구 효목동 165-5번지,대구광역시 동구 효동로 60 (효목동),701842
녹동황토참숯가마,20130102,폐업 등,20140213,,,,601.57,임대,2013,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 동구 능성동 613-22번지 외 2필지,"대구광역시 동구 갓바위로 246-2, A,B동 (능성동)",701530
강북웰빙랜드,20041117,운영중,,,,,2806.92,자가,2004,Y,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 학정동 825번지,대구광역시 북구 구리로 29 (학정동),702911
칠곡시티월드사우나,20021226,운영중,,,,,1398.14,,2002,Y,Y,0,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 읍내동 1075번지,대구광역시 북구 대천로 31 (읍내동),702850
엘리바덴신월성점,20170705,운영중,,,,,3923.30,자가,2017,Y,Y,4,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 월성동 1828번지,"대구광역시 달서구 조암로 38, A동 4~7층 (월성동, 유성스파랜드)",704400
스카이사우나,20050929,운영중,,,,,3836.20,자가,2005,Y,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 태전동 940번지,대구광역시 북구 칠곡중앙대로 411 (태전동),702868
호수에 멱감으러,20040119,운영중,,,,,3516.86,자가,2004,Y,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 산격동 625-3번지,대구광역시 북구 호국로 13 (산격동),702835
그린파크사우나,20040203,운영중,,,,,3200.41,자가,2004,Y,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 동천동 896-2번지,"대구광역시 북구 학정로 439 (동천동, 칠곡메가타운601,701,801호)",702885
(주)웰스포빌,20050311,폐업 등,20110119,,,,3486.07,자가,2005,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 칠성동2가 421-3번지,,702852
서변온천,20030724,운영중,,,,,2674.14,자가,2003,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 서변동 1786번지,대구광역시 북구 호국로 219 (서변동),702894
e웰빙사우나,20050104,폐업 등,20090224,,,,1128.37,자가,2005,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 복현동 200-11번지 (2층),,702828
금천그린피아,20020916,운영중,,,,,"1,560.61",,2002,Y,Y,0,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 북구 침산동 360-1번지,대구광역시 북구 침산남로19길 16 (침산동),702870

