사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,입소정원,자격소유인원수,총인원수,정제지번주소,정제도로명주소,정제우편번호
금포1리경로당,19830101,운영중,,,,,,43,0,0,대구광역시 달성군 논공읍 금포리,,
금포2리경로당,19860101,운영중,,,,,,60,0,0,대구광역시 달성군 논공읍 금포리 1529-3번지,,
금포3리경로당,19880101,운영중,,,,,,72,0,0,대구광역시 달성군 논공읍,,
금포4리경로당,19970800,운영중,,,,,,22,0,0,대구광역시 달성군 논공읍 금포리 1910번지,,
삼리1리경로당,19870101,운영중,,,,,,59,0,0,대구광역시 달성군 논공읍,,
한정3리경로당,20010208,운영중,,,,,,19,0,0,대구광역시 달성군 유가읍 한정리 11번지,,
가태1리경로당,19911021,운영중,,,,,,31,0,0,대구광역시 달성군 유가면 가태리 443-1번지,,
본말1리경로당,19911021,운영중,,,,,,27,0,0,대구광역시 달성군 유가면 본말리 629번지,,
쌍계1리경로당,19880101,운영중,,,,,,44,0,0,대구광역시 달성군 유가면 쌍계리 205-23번지,,
쌍계2리경로당,19970200,운영중,,,,,,43,0,0,대구광역시 달성군 유가면 쌍계리,,
금리1리경로당,19880101,운영중,,,,,,62,0,0,대구광역시 달성군 유가면 금리 807번지,,
금리2리경로당,19920714,운영중,,,,,,25,0,0,대구광역시 달성군 유가면 금리 80번지,,
유곡1리경로당,19920106,운영중,,,,,,49,0,0,대구광역시 달성군 유가면 유곡리 315-1번지,,
유곡2리경로당,19880101,운영중,,,,,,50,0,0,대구광역시 달성군 유가면 유곡리,,
도의1리경로당,19970200,운영중,,,,,,43,0,0,대구광역시 달성군 유가면,,
도의3리경로당,19901030,운영중,,,,,,28,0,0,대구광역시 달성군 유가면 도의리,,
유가면경로당,19970200,운영중,,,,,,25,0,0,대구광역시 달성군 유가면 유곡리 906번지,,
응암1리경로당,19970823,운영중,,,,,,18,0,0,대구광역시 달성군 구지면 응암리 108번지,,
응암2리경로당,19940201,운영중,,,,,,32,0,0,대구광역시 달성군 구지면 응암리 산 42번지,,
응암3리경로당,19920700,운영중,,,,,,25,0,0,대구광역시 달성군 구지면 응암리 880번지,,
대암1리경로당,19970128,운영중,,,,,,24,0,0,대구광역시 달성군 구지면 대암리 231-1번지,,
내리1리경로당,19960226,운영중,,,,,,31,0,0,대구광역시 달성군 구지면 내리 286번지,,
내리2리경로당,19920700,운영중,,,,,,28,0,0,대구광역시 달성군 구지면 내리 652-1번지,,
수리2리경로당,19940201,운영중,,,,,,24,0,0,대구광역시 달성군 구지면 수리리 127번지,,
교항2리경로당,19890501,운영중,,,,,,25,0,0,대구광역시 달성군 옥포면 교항리 1710번지,,
교항3리경로당,20000408,운영중,,,,,,35,0,0,대구광역시 달성군 옥포면,,
상1리경로당,19940523,운영중,,,,,,25,0,0,대구광역시 달성군 현풍면 상리 187번지,,
상2리경로당,19890500,운영중,,,,,,55,0,0,대구광역시 달성군 현풍면 상리 577-3번지,,
가창면 경로당,20080128,운영중,,,,,,49,0,0,대구광역시 달성군 가창면 용계리 98-2번지,,
천내4리 영남아파트경로당,19921200,운영중,,,,,,25,0,0,대구광역시 달성군 화원읍 천내리 A A동 402호,,
천내5리경로당,19900700,운영중,,,,,,49,0,0,대구광역시 달성군 화원읍 천내리 42-1번지,,
천내6리경로당,20020520,운영중,,,,,,14,0,0,대구광역시 달성군 화원읍 천내리 54번지,,
천내7리경로당,20030215,운영중,,,,,,46,0,0,대구광역시 달성군 화원읍 천내리,,
천내8리경로당,19920523,운영중,,,,,,21,0,0,대구광역시 달성군 화원읍 천내리 122-1번지,,
천내9리경로당,19921000,운영중,,,,,,25,0,0,대구광역시 달성군 화원읍 천내리 122번지,,
천내10리경로당,20030619,운영중,,,,,,13,0,0,대구광역시 달성군 화원읍 천내리 119번지,,
천내11리경로당,19910300,운영중,,,,,,20,0,0,대구광역시 달성군 화원읍 천내리 118번지,,
천내12리경로당,19910101,운영중,,,,,,26,0,0,대구광역시 달성군 화원읍 천내리 117번지,,
천내13리경로당,19980603,운영중,,,,,,23,0,0,대구광역시 달성군 화원읍 천내리 110번지,,
천내14리경로당,19980414,운영중,,,,,,25,0,0,대구광역시 달성군 화원읍 천내리 38번지,,
천내15리경로당,20000629,운영중,,,,,,38,0,0,대구광역시 달성군 화원읍,,
구라1리경로당,19780400,운영중,,,,,,25,0,0,대구광역시 달성군 화원읍 구라리,,
구라2리경로당,19820400,운영중,,,,,,24,0,0,대구광역시 달성군 화원읍 구라리 1569번지,,
구라3리경로당,19951201,운영중,,,,,,20,0,0,대구광역시 달성군 화원읍,,
구라4리경로당,19900700,운영중,,,,,,40,0,0,대구광역시 달성군 화원읍 구라리 1734-2번지,,
구라5리경로당,19960101,운영중,,,,,,37,0,0,대구광역시 달성군 화원읍 구라리 1736-3번지,,
평광행복타운 경로당,20050330,운영중,,,,,,12,0,4,대구광역시 달성군 논공읍 남리 578-15번지,,
남3리 경로당,20060515,운영중,,,,,,43,0,4,대구광역시 달성군 논공읍 남리 262번지,,
달성용계주공아파트 경로당,20060529,운영중,,,,,,21,0,4,대구광역시 달성군 가창면 용계리 34-2번지,,
대3리 경로당,20060831,운영중,,,,,,28,0,28,대구광역시 달성군 현풍면 대리 404-1번지,,
북6리경로당,20060915,운영중,,,,,,47,0,1,대구광역시 달성군 논공읍,,
천내16리 경로당,20061030,운영중,,,,,,27,0,27,대구광역시 달성군 화원읍 천내리 138-1번지,,
본말2리경로당,20020412,운영중,,,,,,27,0,0,대구광역시 달성군 유가면 본말리 57번지,,
중1리경로당,19890500,운영중,,,,,,25,0,0,대구광역시 달성군 현풍면 중리 296-3번지,,
중2리경로당,19960229,운영중,,,,,,43,0,0,대구광역시 달성군 현풍면,,
하리경로당,19890500,운영중,,,,,,33,0,0,대구광역시 달성군 현풍면 하리 123번지,,
부1리경로당,19890500,운영중,,,,,,105,0,0,대구광역시 달성군 현풍면 부리 308번지,,
부2리경로당,19970109,운영중,,,,,,30,0,0,대구광역시 달성군 현풍면 부리 340번지,,
부3리경로당,20020830,운영중,,,,,,30,0,0,대구광역시 달성군 현풍면 부리 467-3번지,,
부4리경로당,19960229,운영중,,,,,,42,0,0,대구광역시 달성군 현풍면 부리 337-3번지,,
성하1리경로당,19930118,운영중,,,,,,64,0,0,대구광역시 달성군 현풍면 성하리 559번지,,
성하2리경로당,19940523,운영중,,,,,,30,0,0,대구광역시 달성군 현풍면,,
성하3리경로당,20091230,운영중,,,,,,0,0,0,대구광역시 달성군 현풍면 성하리 725-35번지,,
원교1리경로당,19890500,운영중,,,,,,50,0,0,대구광역시 달성군 현풍면 원교리 37번지,,
원교2리경로당,19890500,운영중,,,,,,25,0,0,대구광역시 달성군 현풍면 원교리 84-3번지,,
원교3리경로당,20000929,운영중,,,,,,25,0,0,대구광역시 달성군 현풍면 원교리,,
오산1리경로당,19970109,운영중,,,,,,18,0,0,대구광역시 달성군 현풍면,,
오산2리경로당,19960229,운영중,,,,,,30,0,0,대구광역시 달성군 현풍면 오산리 953-1번지,,
자모리경로당,19970303,운영중,,,,,,25,0,0,대구광역시 달성군 현풍면,,
지1리경로당,19970109,운영중,,,,,,19,0,0,대구광역시 달성군 현풍면 지리 1302번지,,
지2리경로당,19961021,운영중,,,,,,39,0,0,대구광역시 달성군 현풍면,,
대1리경로당,19890500,운영중,,,,,,32,0,0,대구광역시 달성군 현풍면 663-3번지,,
대2리경로당,19960229,운영중,,,,,,19,0,0,대구광역시 달성군 현풍면 대리 888-1번지,,
신기리경로당,19890500,운영중,,,,,,17,0,0,대구광역시 달성군 현풍면,,
현풍면할머니경로당,19931019,운영중,,,,,,35,0,0,대구광역시 달성군 현풍면 하리 65-2번지,,
용계7리 경로당,20061030,운영중,,,,,,32,0,25,대구광역시 달성군 가창면 용계리 33-20번지,,
성하4리 경로당,20070115,운영중,,,,,,22,0,22,대구광역시 달성군 현풍면 성하리 190-1번지,,
원교4리 경로당,20070130,운영중,,,,,,16,0,22,대구광역시 달성군 현풍면,,
다사주공1단지경로당,20070330,운영중,,,,,,44,0,44,대구광역시 달성군 다사읍,,
다사주공2단지경로당,20070330,운영중,,,,,,87,0,87,대구광역시 달성군 다사읍 매곡리 510-0번지 201 201동 506호,,
서재7리(와룡건영캐스빌아파트)경로당,20070911,운영중,,,,,,58,0,1,대구광역시 달성군 다사읍 서재리 1068-5번지,,
남3리 경로당,20070911,운영중,,,,,,54,0,1,대구광역시 달성군 논공읍 남리 268-2번지,,
구지면 수리1리경로당,20070917,운영중,,,,,,35,0,1,대구광역시 달성군 구지면 수리리,,
천내2리경로당,19900101,운영중,,,,,,90,0,1,대구광역시 달성군 화원읍 천내리,,
천내3리경로당,19900101,운영중,,,,,,40,0,1,대구광역시 달성군 화원읍 천내리 601번지,,
화원읍경로당,19910601,운영중,,,,,,55,0,0,대구광역시 달성군 화원읍 천내리 110번지,,
천내1리경로당,19950401,운영중,,,,,,86,0,1,대구광역시 달성군 화원읍 천내리,,
연화리 경로당,20030605,운영중,,,,,,27,0,27,대구광역시 달성군 다사읍 매곡리 1075번지,,
창4리 경로당,20030728,운영중,,,,,,36,0,36,대구광역시 달성군 구지면 창리 470번지,,
본리4리 경로당,20031201,운영중,,,,,,23,0,23,대구광역시 달성군 화원읍 본리리,,
본리그린빌 경로당,20031211,운영중,,,,,,55,0,51,대구광역시 달성군 화원읍,,
본리6리(본리2차그린빌아파트)경로당,20040402,운영중,,,,,,0,0,15,대구광역시 달성군 화원읍 본리리 113-2번지,,
하2리 경로당,20041115,운영중,,,,,,36,0,2,대구광역시 달성군 논공읍,,
수리3리경로당,20041115,운영중,,,,,,30,0,2,대구광역시 달성군 구지면,,
금3리 경로당,20051011,운영중,,,,,,22,0,2,대구광역시 달성군 유가면 금리 903번지,,
도의2리 경로당,20060327,운영중,,,,,,24,0,4,대구광역시 달성군 유가면,,
묘2리 경로당,20060327,운영중,,,,,,25,0,4,대구광역시 달성군 하빈면 묘리 907-6번지,,
옥포면 경로당,20060412,운영중,,,,,,30,0,5,대구광역시 달성군 옥포면,,
하빈면 경로당,20060414,운영중,,,,,,28,0,3,대구광역시 달성군 하빈면 현내리,,
현풍면할아버지경로당,19931019,운영중,,,,,,230,0,0,대구광역시 달성군 현풍면 하리 65-2번지,,
현내1리경로당,19961126,운영중,,,,,,31,0,0,대구광역시 달성군 하빈면 현내리 134-2번지,,
현내2리경로당,19911213,운영중,,,,,,57,0,0,대구광역시 달성군 하빈면 현내리 482번지,,
현내3리경로당,19940201,운영중,,,,,,60,0,0,대구광역시 달성군 하빈면 현내리 909-1번지,,
감문1리경로당,19961126,운영중,,,,,,33,0,0,대구광역시 달성군 하빈면 감문리 227번지,,
감문2리경로당,19960305,운영중,,,,,,32,0,0,대구광역시 달성군 하빈면 감문리 469번지,,
동곡2리경로당,19940201,운영중,,,,,,65,0,0,대구광역시 달성군 하빈면 동곡리 154-2번지,,
봉촌1리경로당(한실),20020702,운영중,,,,,,26,0,0,대구광역시 달성군 하빈면 봉촌리 354-2번지,,
봉촌2리경로당,19890500,운영중,,,,,,37,0,0,대구광역시 달성군 하빈면 봉촌리 1088-93번지,,
본리2리경로당,19890428,운영중,,,,,,60,0,0,대구광역시 달성군 옥포면 본리리 2322-1번지,,
본리3리경로당,20021015,운영중,,,,,,38,0,0,대구광역시 달성군 옥포면 본리리 1149번지,,
간경리경로당,19890430,운영중,,,,,,184,0,0,대구광역시 달성군 옥포면,,
명성,19970625,운영중,,,,,,0,0,0,대구광역시 남구 대명동,,
신당리경로당,19941228,운영중,,,,,,120,0,0,대구광역시 달성군 옥포면 신당리 1199-1번지,,
송촌리경로당,19940901,운영중,,,,,,20,0,0,대구광역시 달성군 옥포면 송촌리 341번지,,
기세리경로당,19911213,운영중,,,,,,58,0,0,대구광역시 달성군 옥포면 기세리 578번지,,
강림1리경로당,19890501,운영중,,,,,,35,0,0,대구광역시 달성군 옥포면 강림리 984번지,,
강림2리경로당,19890502,운영중,,,,,,113,0,0,대구광역시 달성군 옥포면 강림리 241-2번지,,
김흥1리경로당,19940501,운영중,,,,,,22,0,0,대구광역시 달성군 옥포면 김흥리 150번지,,
김흥2리경로당,19890501,운영중,,,,,,40,0,0,대구광역시 달성군 옥포면 김흥리 708-1번지,,
무등2리경로당,19970523,운영중,,,,,,23,,,대구광역시 달성군 하빈면,,
하산2리(수무지)경로당,19961213,운영중,,,,,,20,,,대구광역시 달성군 하빈면,,
용계1？3리 경로당,19890101,운영중,,,,,,111,,,대구광역시 달성군 가창면 용계리 98-2번지,,
동인삼정그린경로당,20110420,운영중,,,,,,0,,,대구광역시 중구 동인동4가,,
신성미소시티경로당,20091230,운영중,,,,,,22,,,대구광역시 중구 계산동2가 100번지 신성미소시티아파트 A동 1층호,,
삼덕청아람경로당,20130909,운영중,,,,,,27,,,대구광역시 중구 삼덕동3가,,
극동 스타클래스 남산경로당,20141006,운영중,,,,,,50,,,대구광역시 중구 남산동,,
봉산뜨란채 경로당,20070810,운영중,,,,,,35,0,1,대구광역시 중구 봉산동 110번지,,
태왕아너스스카이경로당,20070906,운영중,,,,,,33,0,35,대구광역시 중구 대신동 305-1번지,,
센트로팰리스 경로당,20080624,운영중,,,,,,80,0,0,대구광역시 중구 대봉동 60-10번지 102 102동,,
반월당삼정그린코아경로당,20081203,운영중,,,,,,42,0,0,대구광역시 중구 남산동 665번지,,
남산휴먼시아2단지 경로당,20090601,운영중,,,,,,36,0,0,대구광역시 중구 남산동 2991번지 206 206동,,
남산휴먼시아1단지 경로당,20090615,운영중,,,,,,40,0,0,대구광역시 중구 남산동 2990번지,,
동인시티타운 경로당,20090924,운영중,,,,,,72,0,0,대구광역시 중구 동인동1가 33-1번지 103 103동,,
일신경로당,20040906,운영중,,,,,,0,0,1,대구광역시 중구 대신동 64-21번지,,
남문경로당,20040722,운영중,,,,,,0,0,0,대구광역시 중구 남산동 802번지,,
남산그린타운경로당,20050915,운영중,,,,,,36,0,36,대구광역시 중구 남산동 2937-1번지,,
대봉화성파크드림 노인회,20070123,운영중,,,,,,34,0,1,대구광역시 중구 대봉동,,
건들바위경로당,20000920,운영중,,,,,,0,0,0,대구광역시 중구 대봉동 590-377번지,,
대봉1동경로당,19950622,운영중,,,,,,0,0,0,대구광역시 중구 대봉동,,
삼덕3가동경로당,19960113,운영중,,,,,,0,0,0,대구광역시 중구 삼덕동3가 258-9번지,,
동성동경로당,19960723,운영중,,,,,,0,0,0,대구광역시 중구 교동 49-5번지,,
77태평아파트경로당,19961107,운영중,,,,,,0,0,0,대구광역시 중구 태평로1가 23-1번지,,
동인1.2가동경로당,19970429,운영중,,,,,,0,0,0,대구광역시 중구 동인동2가 120번지,,
대남경로당,19970512,운영중,,,,,,0,0,0,대구광역시 중구 남산동 247-2번지,,
대봉2동경로당,19970421,운영중,,,,,,0,0,0,대구광역시 중구 대봉동,,
삼덕1.2가동경로당,19980207,운영중,,,,,,0,0,0,대구광역시 중구 삼덕동2가 149-108번지,,
동산동경로당,19980202,운영중,,,,,,0,0,0,대구광역시 중구 동산동 524번지,,
대신서문경로당,19981215,운영중,,,,,,0,0,0,대구광역시 중구 대신동,,
대신경로당,19981215,운영중,,,,,,0,0,0,대구광역시 중구 대신동 1850번지,,
봉촌1리경로당,19890500,운영중,,,,,,39,0,0,대구광역시 달성군 하빈면 봉촌리 122번지,,
본리1리경로당,19890501,운영중,,,,,,193,0,0,대구광역시 달성군 옥포면 본리리 932번지,,
김흥3리경로당,19911213,운영중,,,,,,30,0,0,대구광역시 달성군 옥포면 김흥리 1352번지,,
반송1리경로당,19930502,운영중,,,,,,58,0,0,대구광역시 달성군 옥포면 반송리 916-31번지,,
반송2리경로당,19911213,운영중,,,,,,28,0,0,대구광역시 달성군 옥포면 반송리 542번지,,
교항1리경로당,19890501,운영중,,,,,,203,0,0,대구광역시 달성군 옥포면 교항리 1365번지,,
주2리경로당(내주리),19990519,운영중,,,,,,20,0,0,대구광역시 달성군 가창면 주리 635-1번지,,
삼산리경로당(수점),20080211,운영중,,,,,,39,0,0,대구광역시 달성군 가창면 삼산리 684-6번지,,
북4리 경로당,19910101,운영중,,,,,,0,,,대구광역시 달성군 논공읍 북리 803-3번지,,
중1리 경로당,19890501,운영중,,,,,,70,,,대구광역시 달성군 현풍면,,
우록2리 경로당,19960201,운영중,,,,,,0,,,대구광역시 달성군 가창면 우록리 1012-1번지,,
매곡2리(연화리)경로당,20030605,운영중,,,,,,0,,,대구광역시 달성군 다사읍,,
화산1리 경로당,20140522,운영중,,,,,,0,,,대구광역시 달성군 구지면 화산리 461번지,,
문양리(서부3동) 경로당,19950921,운영중,,,,,,0,,,대구광역시 달성군 다사읍,,
죽곡3리 경로당,19980123,운영중,,,,,,0,,,대구광역시 달성군 다사읍,,
죽곡3리경로당,19980123,운영중,,,,,,0,,,대구광역시 달성군 다사읍,,
단산리경로당,19890501,운영중,,,,,,41,,,대구광역시 달성군 가창면,,
행정2리경로당,19940901,운영중,,,,,,0,,,대구광역시 달성군 가창면 행정리,,
남4리경로당,19911201,운영중,,,,,,21,,,대구광역시 달성군 논공읍,,
삼산리경로당(본동),19890501,운영중,,,,,,69,,,대구광역시 달성군 가창면 삼산리,,
주1리경로당,19890501,운영중,,,,,,31,,,대구광역시 달성군 가창면 주리,,
대일1리경로당,19890501,운영중,,,,,,65,,,대구광역시 달성군 가창면,,
옥분리경로당,19960201,운영중,,,,,,35,,,대구광역시 달성군 가창면 옥분리,,
본리4리(삼환나우빌)경로당,20100204,운영중,,,,,,30,,,"대구광역시 달성군 옥포면 본리리 토지구획정리사업지구 18B 1,2L",,
서재휴먼시아경로당,20101022,운영중,,,,,,45,,,대구광역시 달성군 다사읍 서재리 486번지 서재휴먼시아,,
북2리 경로당,20130315,운영중,,,,,,19,,,대구광역시 달성군 논공읍 북리 803-15번지 A동 9호 및 A동 19호,,
북2리 경로당,20130315,운영중,,,,,,19,,,대구광역시 달성군 논공읍 북리,,
옥분 정안 경로당,20130326,운영중,,,,,,34,,,대구광역시 달성군 가창면 옥분리,,
중4리 경로당,20130529,운영중,,,,,,28,,,대구광역시 달성군 현풍면,,
상원리 가재골 경로당,20120227,운영중,,,,,,20,,,대구광역시 달성군 가창면,,
양2리경로당,20121119,운영중,,,,,,0,,,대구광역시 달성군 유가면 양리 256번지,,
용봉2리경로당,19881201,운영중,,,,,,0,,,대구광역시 달성군 유가면,,
북5리경로당,19921201,운영중,,,,,,0,,,대구광역시 달성군 논공읍 북리 803번지 청구아파트,,
남1리경로당,19750601,운영중,,,,,,0,,,대구광역시 달성군 논공읍 남리 656-16번지,,
동곡2리경로당,19970527,운영중,,,,,,0,,,대구광역시 달성군 하빈면 동곡리 631번지,,
동곡1리경로당,19970527,운영중,,,,,,50,,,대구광역시 달성군 하빈면,,
달성2차 청아람경로당,20110331,운영중,,,,,,0,,,대구광역시 달성군 구지면 응암리 1178번지,,
중3리 금성중리타운 경로당,20110419,운영중,,,,,,0,,,대구광역시 달성군 현풍면 중리 286-2번지 가동103호,,
청아람1단지경로당,20091123,운영중,,,,,,14,0,0,대구광역시 달성군 다사읍 매곡리 1537번지,,
문양2리경로당(서부실),20091224,운영중,,,,,,14,0,0,대구광역시 달성군 다사읍 문양리 78번지,,
오2리경로당,19911201,운영중,,,,,,33,,,대구광역시 달성군 가창면,,
우록1리경로당,19890501,운영중,,,,,,50,,,대구광역시 달성군 가창면,,
냉천2리경로당,19890501,운영중,,,,,,36,,,대구광역시 달성군 가창면,,
묘1리경로당,19970227,운영중,,,,,,27,,,대구광역시 달성군 하빈면,,
봉촌1리(수무실)경로당,20120229,운영중,,,,,,19,,,대구광역시 달성군 하빈면,,
성산5리경로당,19960701,운영중,,,,,,28,,,대구광역시 달성군 화원읍,,
달천리경로당,19970101,운영중,,,,,,35,,,대구광역시 달성군 다사읍,,
주2리경로당(중주리),19960201,운영중,,,,,,26,,,대구광역시 달성군 가창면,,
정대매계경로당,20120227,운영중,,,,,,20,,,대구광역시 달성군 가창면 정대리 180-2번지,,
하1리경로당,19811201,운영중,,,,,,29,,,대구광역시 달성군 논공읍,,
행정1리경로당,19890501,운영중,,,,,,52,,,대구광역시 달성군 가창면 행정리 962-1번지,,
초곡리경로당,20150306,운영중,,,,,,31,,,대구광역시 달성군 유가면,,
