사업장명,정제도로명주소
안평경로당,대구광역시 동구 평화로 20-20
우방강촌마을APT경로당,대구광역시 동구 화랑로80길 8
방촌우방맨션경로당,대구광역시 동구 화랑로 407
제림빌리지APT경로당,대구광역시 동구 해동로6길 37
신천LH경로당,대구광역시 동구 동부로 1
용계1경로당,대구광역시 동구 용계로2길 14-2
효일경로당,대구광역시 동구 효동로 114-1
에덴경로당,대구광역시 동구 팔공로26길 49
신천가람타운경로당,대구광역시 동구 신암로16길 33
코스모스아파트경로당,대구광역시 동구 화랑로11길 26
모란3차APT경로당,대구광역시 동구 율하동로20길 31
동서1차아파트경로당,대구광역시 동구 아양로39길 16
서호제2경로당,대구광역시 동구 안심로51길 14 
미곡경로당,대구광역시 동구 용천로 38-7
월천할머니경로당,대구광역시 동구 부동길 31
불로우방아파트경로당,대구광역시 동구 공항로 150
제일경로당,대구광역시 동구 아양로11길 36-5
팔공보성1차경로당,대구광역시 동구 팔공로 489
송정2동경로당,대구광역시 동구 팔공산로23길 76
경로회관경로당,대구광역시 동구 아양로27길 29-13
지묘2동경로당,대구광역시 동구 파계로 83
덕곡경로당,대구광역시 동구 서촌로23길 37-1
신용2경로당,대구광역시 동구 파계로120길 63
신일경로당,대구광역시 동구 국채보상로165길 3-1
새마을경로당,대구광역시 동구 화랑로27길 24
명당경로당,대구광역시 동구 옻골로 38
성동경로당,대구광역시 동구 아양로34길 18-3
모란2차APT경로당,대구광역시 동구 율하동로20길 30
도학1동경로당,대구광역시 동구 팔공산로 1467
신용1동경로당,대구광역시 동구 용진길 143
율암경로당,대구광역시 동구 반야월북로2길 15-1
효목2동제일경로당,대구광역시 동구 화랑로19길 97
동원경로당,대구광역시 동구 안심로41길 21
상동경로당,대구광역시 동구 옻골로20길 31
신기경로당,대구광역시 동구 반야월로28길 49-3
신천4동제1경로당,대구광역시 동구 화랑로3길 10-13
용계제2경로당,대구광역시 동구 화랑로108길 19
백자맨션경로당,대구광역시 동구 동촌로 346
신암2동경로당,대구광역시 동구 신성로 113-3
불로제1경로당,대구광역시 동구 방천로2길 6
미대경로당,대구광역시 동구 팔공로 817 
둔산경로당,대구광역시 동구 둔산로51길 140
중대2동경로당,대구광역시 동구 파계로 558-2
강변1차아파트경로당,대구광역시 동구 동촌로54길 13
신암5동경로당,대구광역시 동구 동북로83길 25-2
매여경로당,대구광역시 동구 매여로8길 41
서호할머니경로당,대구광역시 동구 안심로43길 20
방촌제1경로당,대구광역시 동구 동촌로46길 40
신암1경로당,대구광역시 동구 신암북로7길 37
회관경로당,대구광역시 동구 아양로50길 50-1
팔공아파트경로당,대구광역시 동구 해동로 54
금호정경로당,대구광역시 동구 아양로49길 77
불로경로당,대구광역시 동구 팔공로23길 15
신평경로당,대구광역시 동구 신평로16길 57-13
평광경로당,대구광역시 동구 도평로116길 18-3
입석경로당,대구광역시 동구 동촌로1길 26
검사제2경로당,대구광역시 동구 방촌로1길 17
서호제1경로당,대구광역시 동구 안심로41길 50-10
신서청구아파트경로당,대구광역시 동구 반야월북로55길 19
송정경로당,대구광역시 동구 안심로90길 17-1
신천3동제1경로당,대구광역시 동구 송라로12길 5-1 
북7리경로당,대구광역시 달성군 논공읍 논공로23길 14
논공읍경로당,대구광역시 달성군 논공읍 비슬로 1778
이천리경로당,대구광역시 달성군 다사읍 다사로69길 72-2
박곡리경로당,대구광역시 달성군 다사읍 다사로109길 41
세천리경로당,대구광역시 달성군 다사읍 세천본길 18-4
문양1리경로당,대구광역시 달성군 다사읍 문양역길 17
문양2리경로당,대구광역시 달성군 다사읍 문양역5길 99
문양2리경로당(장귀미),대구광역시 달성군 다사읍 장귀미길 50
구라6리(삼우청솔)경로당,대구광역시 달성군 화원읍 비슬로539길 17
성산2리경로당,대구광역시 달성군 화원읍 성천로10길 16
성산3리경로당,대구광역시 달성군 화원읍 사문진로1길 6
성산4리경로당,대구광역시 달성군 화원읍 성화로6길 5
성산6리경로당,대구광역시 달성군 화원읍 사문진로 349
설화1리경로당,대구광역시 달성군 화원읍 류목정길 42
설화2리경로당,대구광역시 달성군 화원읍 비슬로491길 13
명곡1리경로당,대구광역시 달성군 화원읍 명곡로22길 12
명곡2리경로당,대구광역시 달성군 화원읍 비슬로500길 7
명곡3리경로당,대구광역시 달성군 화원읍 명곡로 11
명곡4리경로당,대구광역시 달성군 화원읍 명천로 231
명곡5리경로당,대구광역시 달성군 화원읍 명곡로 30
명곡6리경로당,대구광역시 달성군 화원읍 명곡로 11
명곡7리경로당,대구광역시 달성군 화원읍 명천로 243
본리1리경로당,대구광역시 달성군 화원읍 인흥2길 91
본리2리경로당,대구광역시 달성군 화원읍 마비정길 268
도동1리경로당,대구광역시 달성군 구지면 구지서로 712
목단1리경로당,대구광역시 달성군 구지면 구지남로57길 1
유산리경로당,대구광역시 달성군 구지면 유산길 17
구지면경로당,대구광역시 달성군 구지면 구지시장길 46-8
다사읍 노인회 경로당,대구광역시 달성군 다사읍 달구벌대로 817
하산2리(너울터),대구광역시 달성군 하빈면 하산2길 37
화원읍 구라8리(대곡역래미안)경로당,대구광역시 달성군 화원읍 비슬로539길 35
서재8리(신성서화성파크드림)경로당,대구광역시 달성군 다사읍 서재로27길 42
다사읍 죽곡6리(대실역 e-편한세상)경로당,대구광역시 달성군 다사읍 죽곡1길 42
다사읍 서재9리(진흥더블파크아파트)경로당,대구광역시 달성군 다사읍 서재로24길 29
화원읍 구라9리(신동아파밀리에아파트)경로당,대구광역시 달성군 화원읍 비슬로539길 38
다사읍 매곡리 휴먼시아 경로당,대구광역시 달성군 다사읍 대실역북로1길 6
본리3리경로당,대구광역시 달성군 화원읍 비슬로 2674
노이1리경로당,대구광역시 달성군 논공읍 노이길 408
금포1리경로당,대구광역시 달성군 논공읍 금포새터길 23
금포3리경로당,대구광역시 달성군 논공읍 봉동길 9-5
금포4리경로당,대구광역시 달성군 논공읍 비슬로350길 58
한정3리경로당,대구광역시 달성군 유가읍 비슬로34길 1
쌍계2리경로당,대구광역시 달성군 유가읍 테크노순환로 440
응암1리경로당,대구광역시 달성군 구지면 응암길 11
대암1리경로당,대구광역시 달성군 구지면 대암4길 5-5
내리1리경로당,대구광역시 달성군 구지면 국가산단대로 91-81
내리2리경로당,대구광역시 달성군 구지면 달성2차로 6-28
수리2리경로당,대구광역시 달성군 구지면 국가산단북로11길 82
가창면 경로당,대구광역시 달성군 가창면 가창로220길 2
천내5리경로당,대구광역시 달성군 화원읍 비슬로525길 21
천내8리경로당,대구광역시 달성군 화원읍 비슬로525길 37
천내9리경로당,대구광역시 달성군 화원읍 화원로 26
천내10리경로당,대구광역시 달성군 화원읍 비슬로525길 48
천내11리경로당,대구광역시 달성군 화원읍 화원로 36 
천내12리경로당,대구광역시 달성군 화원읍 화원로 37
천내13리경로당,대구광역시 달성군 화원읍 화원로7길 50-21
천내14리경로당,대구광역시 달성군 화원읍 화원로1길 15-7
구라1리경로당,대구광역시 달성군 화원읍 구라1길 20-1
구라5리경로당,대구광역시 달성군 화원읍 비슬로 2715
평광행복타운 경로당,대구광역시 달성군 논공읍 논공중앙로22길 12
남3리 경로당,대구광역시 달성군 논공읍 사촌길 15-1
달성용계주공아파트 경로당,대구광역시 달성군 가창면 가창로216길 25
천내16리 경로당,대구광역시 달성군 화원읍 화원로3길 66
용계7리 경로당,대구광역시 달성군 가창면 가창로216길 55
다사주공2단지경로당,대구광역시 달성군 다사읍 매곡로14길 13
서재7리(와룡건영캐스빌아파트)경로당,대구광역시 달성군 다사읍 서재로12길 41-16
남3리 경로당,대구광역시 달성군 논공읍 사촌길 16-5
천내2리경로당,대구광역시 달성군 화원읍 인흥길 17-8
천내3리경로당,대구광역시 달성군 화원읍 명천로19길 29-3
화원읍경로당,대구광역시 달성군 화원읍 화원로7길 50-21
연화리 경로당,대구광역시 달성군 다사읍 달구벌대로126길 58-1
창4리 경로당,대구광역시 달성군 구지면 구지시장길 22
본리4리 경로당,대구광역시 달성군 화원읍 비슬로532길 27-56
본리6리(본리2차그린빌아파트)경로당,대구광역시 달성군 화원읍 성암로 25
묘2리 경로당,대구광역시 달성군 하빈면 묘동2길 19-1
현내1리경로당,대구광역시 달성군 하빈면 하빈로 533
현내2리경로당,대구광역시 달성군 하빈면 하빈로90길 5
현내3리경로당,대구광역시 달성군 하빈면 하빈로 402-5
감문1리경로당,대구광역시 달성군 하빈면 하빈로52길 19
감문2리경로당,대구광역시 달성군 하빈면 하빈로24길 73-1
동곡2리경로당,대구광역시 달성군 하빈면 달구벌대로35길 16
봉촌1리경로당(한실),대구광역시 달성군 하빈면 봉촌1길 4
봉촌2리경로당,대구광역시 달성군 하빈면 하빈남로77길 4
용계노인회관,대구광역시 달성군 가창면 가창로220길 2
동인삼정그린경로당,대구광역시 중구 동덕로30길 63-11
신성미소시티경로당,대구광역시 중구 달구벌대로 2051
극동 스타클래스 남산경로당,대구광역시 중구 남산로 30
봉산뜨란채 경로당,대구광역시 중구 봉산문화길 69
태왕아너스스카이경로당,대구광역시 중구 달구벌대로 1975
센트로팰리스 경로당,대구광역시 중구 대봉로 260
반월당삼정그린코아경로당,대구광역시 중구 중앙대로67길 10
남산휴먼시아2단지 경로당,대구광역시 중구 달구벌대로 1970
남산휴먼시아1단지 경로당,대구광역시 중구 달구벌대로 1960 
동인시티타운 경로당,대구광역시 중구 국채보상로131길 55
일신경로당,대구광역시 중구 국채보상로93길 31-1
남문경로당,대구광역시 중구 2·28길 10-16
남산그린타운경로당,대구광역시 중구 달구벌대로 1950
건들바위경로당,대구광역시 중구 명륜로26안길 19
대봉1동경로당,대구광역시 중구 달구벌대로440길 27
삼덕3가동경로당,대구광역시 중구 달구벌대로443길 44-40
동성동경로당,대구광역시 중구 교동길 79-6
77태평아파트경로당,대구광역시 중구 태평로 205
동인1.2가동경로당,대구광역시 중구 국채보상로 679-13
대남경로당,대구광역시 중구 명륜로6길 5
대봉2동경로당,대구광역시 중구 명륜로 138-9
삼덕1.2가동경로당,대구광역시 중구 공평로4길 25
동산동경로당,대구광역시 중구 달구벌대로401길 20-17
봉촌1리경로당,대구광역시 달성군 하빈면 하빈남로52길 58
주2리경로당(내주리),대구광역시 달성군 가창면 주리2길 124
삼산리경로당(수점),대구광역시 달성군 가창면 가창로58길 12
북4리 경로당,대구광역시 달성군 논공읍 논공로21길 15
우록2리 경로당,대구광역시 달성군 가창면 우록길 461
죽곡3리 경로당,대구광역시 달성군 다사읍 달구벌대로 842-7
대일1리경로당,대구광역시 달성군 가창면 가창로126길 3
서재휴먼시아경로당,대구광역시 달성군 다사읍 서재로14길 2
북2리 경로당,대구광역시 달성군 논공읍 논공로15길 22
북2리 경로당,대구광역시 달성군 논공읍 논공로15길 20-5
옥분 정안 경로당,대구광역시 달성군 가창면 가창로75길 6
상원리 가재골 경로당,대구광역시 달성군 가창면 가창동로 271-24
북5리경로당,대구광역시 달성군 논공읍 논공로7길 73
남1리경로당,대구광역시 달성군 논공읍 남리길 40-10
동곡2리경로당,대구광역시 달성군 하빈면 하빈남로37길 26-3
달성2차 청아람경로당,대구광역시 달성군 구지면 과학마을로2길 6
청아람1단지경로당,대구광역시 달성군 다사읍 대실역북로 38
오2리경로당,대구광역시 달성군 가창면 헐티로11길 90
정대매계경로당,대구광역시 달성군 가창면 헐티로7길 8
초곡리경로당,대구광역시 달성군 유가읍 유가북길 222
남2리경로당,대구광역시 달성군 논공읍 논공로7길 30-9
동인4가동경로당,대구광역시 중구 국채보상로142길 33-41
남산2동경로당,대구광역시 중구 달구벌대로 2016-11
남산3동경로당,대구광역시 중구 남산로6안길 27-57
남산4동경로당,대구광역시 중구 남산로3안길 11
청운경로당,대구광역시 중구 동덕로 33
달성동경로당,대구광역시 중구 달성로21길 44-13
동인3가동경로당,대구광역시 중구 동덕로38길 85
남성동경로당,대구광역시 중구 약령길 33-6
서성동경로당,대구광역시 중구 서성로15길 27-1
봉산동경로당,대구광역시 중구 봉산문화길 1-4
보성송림경로당,대구광역시 중구 남산로4길 91
북성동경로당,대구광역시 중구 서성로14길 51-18 
보성황실경로당,대구광역시 중구 남산로13길 17 
라이프태평아파트경로당,대구광역시 중구 태평로 177 
남산1동경로당,대구광역시 중구 중앙대로62길 30-3
청아람2단지 경로당,대구광역시 달성군 다사읍 대실역북로 26
문양1리 용두골 경로당,대구광역시 달성군 다사읍 장귀미길 156
대실역동화아이위시경로당,대구광역시 달성군 다사읍 대실역북로 55
매곡16리 한일유앤아이노인회,대구광역시 달성군 다사읍 매곡로4길 9
매곡15리 이편한세상경로당,대구광역시 달성군 다사읍 다사역로 60
창2리경로당,대구광역시 달성군 구지면 창리서로6길 4-3
징리경로당,대구광역시 달성군 구지면 구지서로10길 62
평촌1리경로당,대구광역시 달성군 구지면 구지동로16길 85
평촌2리경로당,대구광역시 달성군 구지면 구지동로40길 38-3
예현리경로당,대구광역시 달성군 구지면 예현1길 11-9
가천리경로당,대구광역시 달성군 구지면 가천2길 48-3
고봉리경로당,대구광역시 달성군 구지면 구지동로10길 3
오설리경로당,대구광역시 달성군 구지면 구지서로60길 62-4
하산1리경로당,대구광역시 달성군 하빈면 하목정길 40-2
기곡2리경로당,대구광역시 달성군 하빈면 기곡1길 96
대평1리경로당,대구광역시 달성군 하빈면 하빈로 888
대평2리경로당(두천),대구광역시 달성군 하빈면 하빈로171길 40
대평2리경로당(모산),대구광역시 달성군 하빈면 하빈로172길 40
문산리경로당,대구광역시 달성군 다사읍 달구벌대로92길 56
서재1리경로당,대구광역시 달성군 다사읍 서재본2길 3
서재2리경로당,대구광역시 달성군 다사읍 서재로18길 5
서재3리경로당,대구광역시 달성군 다사읍 서재로 120
서재4리경로당,대구광역시 달성군 다사읍 서재로30길 17
서재5리경로당,대구광역시 달성군 다사읍 서재로30길 7
매곡1리경로당,대구광역시 달성군 다사읍 매곡안길 14
매곡3리경로당,대구광역시 달성군 다사읍 왕선로 49
매곡4리경로당,대구광역시 달성군 다사읍 달구벌대로 790
매곡5리경로당,대구광역시 달성군 다사읍 달구벌대로 802-1
매곡6리경로당,대구광역시 달성군 다사읍 달구벌대로 770
매곡8리경로당,대구광역시 달성군 다사읍 달구벌대로 802
죽곡2리경로당,대구광역시 달성군 다사읍 강정길 30
죽곡3리경로당,대구광역시 달성군 다사읍 달구벌대로 842-7
죽곡4리경로당,대구광역시 달성군 다사읍 죽곡2길 6
부곡리(새터)경로당,대구광역시 달성군 다사읍 부곡2길 7-1
삼리3리경로당,대구광역시 달성군 논공읍 비슬로326길 13
상2리경로당,대구광역시 달성군 논공읍 중동길 33
남6리경로당,대구광역시 달성군 논공읍 논공중앙로22길 36
남8리경로당,대구광역시 달성군 논공읍 남리길 48
평리롯데캐슬경로당,대구광역시 서구 국채보상로 316
동화타운 경로당,대구광역시 서구 달구벌대로337길 29
웰빙경로당,대구광역시 서구 서대구로7길 46
우방청자경로당,대구광역시 달서구 상화북로 117
본동경로당,대구광역시 달서구 와룡로4길 19 
청구그린3차경로당,대구광역시 달서구 구마로36길 33
백조제2경로당,대구광역시 달서구 상화북로 160
성당2동경로당,대구광역시 달서구 야외음악당로9길 45
신호경로당,대구광역시 달서구 야외음악당로47길 158
삼리경로당,대구광역시 달서구 와룡로24길 27
성서경로당,대구광역시 달서구 성서로72길 97-13
산호경로당,대구광역시 달서구 달구벌대로203길 3
월암경로당,대구광역시 달서구 조암로 94
서부분회경로당,대구광역시 달서구 송현로 161
월성분회경로당,대구광역시 달서구 송현로16길 43
수림원,대구광역시 달서구 감삼길 71-18
삼성경로당,대구광역시 달서구 성당로33안길 23
성당주공3단지경로당,대구광역시 달서구 장기로 160
청구그린경로당,대구광역시 달서구 구마로40길 21
보성아파트경로당,대구광역시 달서구 당산로 17
우방아파트경로당,대구광역시 달서구 구마로 171
춘추경로당,대구광역시 달서구 와룡로49길 18-17
라일락아파트경로당,대구광역시 달서구 장기로26길 30
원화경로당,대구광역시 달서구 장기로26길 81
금봉경로당,대구광역시 달서구 야외음악당로39서길 91-10 
아카시아경로당,대구광역시 달서구 대명천로 153
감삼제1경로당,대구광역시 달서구 감삼남6길 41-1
장기초록나라경로당,대구광역시 달서구 한들로 55 
송현경로당,대구광역시 달서구 구마로52안길 18
성서2차보성타운경로당,대구광역시 달서구 선원로 241 
성서주공5단지경로당,대구광역시 달서구 선원남로 181
성서2차영남우방경로당,대구광역시 달서구 이곡공원로 83
궁전경로당,대구광역시 달서구 용산로12길 75
이곡경로당,대구광역시 달서구 이곡공원로1길 7
한빛마을주공경로당,대구광역시 달서구 선원남로 99
성서동서화성타운경로당,대구광역시 달서구 이곡공원로 33
성서한샘타운경로당,대구광역시 달서구 선원남로 77
성서푸른마을경로당,대구광역시 달서구 선원로 137
성서2차화성타운경로당,대구광역시 달서구 성서동로 355-20
성서무지개타운경로당,대구광역시 달서구 선원로 171
성산경로당,대구광역시 달서구 서당로3길 19-10
농림경로당,대구광역시 달서구 당산로41서길 22-5
월상경로당,대구광역시 달서구 상원로13길 23-17
대곡사계절타운경로당,대구광역시 달서구 한실로 117
대곡강산타운경로당,대구광역시 달서구 도원로 45 
상원1리 경로당,대구광역시 달성군 가창면 가창로126길 182
이시아폴리스더샵4차경로당,대구광역시 동구 팔공로53길 40
남부경로당,대구광역시 남구 봉덕로22길 20-4 
효성타운경로당,대구광역시 남구 효성중앙길 37
상신,대구광역시 남구 효성3길 20
앵두마을,대구광역시 남구 두류공원로12길 17-25
대명3동경로당,대구광역시 남구 명덕로10길 27-1 
명오당경로당,대구광역시 남구 대명로58길 11 
봉삼경로당,대구광역시 남구 삼정4길 89
정우A,대구광역시 남구 현충로25길 71
대명9동경로당,대구광역시 남구 큰골길 53
대동경로당,대구광역시 남구 이천로28길 42-43
동아대덕A,대구광역시 남구 현충서길 29
대명4동,대구광역시 남구 대경5길 101-2
기로회,대구광역시 남구 대명로49길 77
영선경로당,대구광역시 남구 중앙대로50길 40
양지,대구광역시 남구 명덕로12길 133-1
화수,대구광역시 남구 대봉로36길 17
코스모스A,대구광역시 남구 대명로 42 
명덕경로당,대구광역시 남구 명덕로38길 51
동심경로당,대구광역시 남구 이천로 64-1
봉명,대구광역시 남구 중앙대로34길 75
명동경로당,대구광역시 남구 성당로48길 68
대명1동경로당,대구광역시 남구 장전2길 1
파크맨션,대구광역시 남구 대명복개로 230
곡내경로당,대구광역시 남구 골안길 33-1
대현,대구광역시 남구 앞산순환로63길 74-5
봉덕1동경로당,대구광역시 남구 희망로3길 11-2
무궁화,대구광역시 남구 현충로23길 23
대복,대구광역시 남구 대명로20길 28 
이천1동경로당,대구광역시 남구 이천로 143-6
대명8동경로당,대구광역시 남구 영선시장1길 85-3 
목련경로당,대구광역시 남구 봉덕로2길 31
대명10동경로당,대구광역시 남구 도촌길 150
대명11동,대구광역시 남구 대명역6길 48
대우경로당,대구광역시 남구 안지랑로5길 8
래미안 웰리스트 경로당,대구광역시 남구 효성중앙길 82
개나리맨션경로당,대구광역시 남구 대명로 117
대덕,대구광역시 남구 삼각지5길 17
고산골 경로당,대구광역시 남구 용두길 89-1
앞산힐스테이트경로당,대구광역시 남구 대덕로 166
강변코오롱하늘채노인회,대구광역시 남구 봉덕로 134 
희망교대성유니드,대구광역시 남구 희망로5길 12 
교대역월드메르디앙,대구광역시 남구 이천로19길 68
"이천뜨란채3,4단지경로당",대구광역시 남구 대봉로26길 37
상아경로당,대구광역시 남구 명덕로 236
봉덕2동,대구광역시 남구 대덕로38길 46-1
보성아파트,대구광역시 남구 삼정2길 99
일심,대구광역시 남구 성명공원길 49
이천주공1단지경로당,대구광역시 남구 명덕로68길 77
이천주공2단지경로당,대구광역시 남구 희망로 57 
대명5동경로당,대구광역시 남구 백의1길 30-7 
율하역엘크루경로당,대구광역시 동구 안심로7길 7 
금호LH천년나무8단지,대구광역시 북구 내곡로 15 
감삼친화경로당,대구광역시 달서구 당산로 187
중7리(남해오네뜨1차) 경로당,대구광역시 달성군 현풍읍 테크노북로4길 11
대신자이경로당,대구광역시 중구 달구벌대로 1955
정대2리 경로당,대구광역시 달성군 가창면 헐티로2길 2
봉12리(힐데스하임)경로당,대구광역시 달성군 유가읍 테크노북로9길 42 
황금태왕아너스경로당,대구광역시 수성구 청호로 345
목단2리 경로당,대구광역시 달성군 구지면 구미마을길 89-2
동변(여)경로당,대구광역시 북구 동변로24길 14
샛별경로당,대구광역시 북구 팔거천서로 25-36
대현LH3단지 경로당,대구광역시 북구 대현남로6길 20 
현풍LH천년나무2단지 경로당,대구광역시 달성군 현풍읍 테크노북로2길 30
창1리 경로당,대구광역시 달성군 구지면 창리로 59
봉2리(화성파크드림) 경로당,대구광역시 달성군 유가읍 테크노북로 165
진천태왕아너스경로당,대구광역시 달서구 상화로5길 23
본리2차롯데캐슬경로당,대구광역시 달서구 대명천로 119 
진천역화성파크리젠시경로당,대구광역시 달서구 월배로11길 9-16
상인대성스카이렉스경로당,대구광역시 달서구 월배로 183
성서우방유쉘경로당,대구광역시 달서구 달구벌대로 995
대곡역화성파크드림경로당,대구광역시 달서구 달서대로 41
북1리 경로당,대구광역시 달성군 논공읍 북리2길 10-10
평화경로당,대구광역시 동구 아양로 65-67
정대1리 경로당,대구광역시 달성군 가창면 헐티로 498
대구혁신LH4단지경로당,대구광역시 동구 경안로 956
우방사랑마을아파트경로당,대구광역시 수성구 달구벌대로 2317
황금종합복지관경로당,대구광역시 수성구 청수로45길 41
황금2동 제1경로당,대구광역시 수성구 희망로36길 32
황금2동 제2경로당,대구광역시 수성구 들안로40안길 7-20
은혜를 생각하는 경로당,대구광역시 수성구 수성로37길 28
상동공원경로당,대구 수성구 들안로13길 118?
상동제2경로당,대구광역시 수성구 수성로15길 42-6
한들경로당,대구광역시 수성구 수성로32길 99
덕화경로당,대구광역시 수성구 들안로9길 56
범어가든3차경로당,대구광역시 수성구 청호로 365
범어청구하이츠경로당,대구광역시 수성구 청호로84안길 2
만촌3동 제1경로당,대구광역시 수성구 달구벌대로526안길 6
샘골경로당,대구광역시 수성구 공경로2길 21
메트로팔레스3단지경로당,대구광역시 수성구 동원로 110
만촌경로당,대구광역시 수성구 만촌로24길 37-20
서한아파트경로당,대구광역시 수성구 신매로 21
오성타운경로당,대구광역시 수성구 신천동로 380
한가람타운경로당,대구광역시 수성구 명덕로 368
삼우1차타운경로당,대구광역시 수성구 달구벌대로456길 19
두리봉경로당,대구광역시 수성구 달구벌대로530길 92
범어1동제1경로당,대구광역시 수성구 동대구로54길 7
궁전맨션경로당,대구광역시 수성구 동대구로 274
성서용산경로당,대구광역시 달서구 성서동로 350
와룡타운경로당,대구광역시 달서구 이곡동로 32
보성화성아파트경로당,대구광역시 달서구 계대동문로 99
청남타운경로당,대구광역시 달서구 성서서로 330
우방타운경로당,대구광역시 달서구 계대동문로 123
동서서한아파트경로당,대구광역시 달서구 선원로 100 
신당경로당,대구광역시 달서구 서당로12길 17 
진천귀빈2차경로당,대구광역시 달서구 월배로32안길 66
대곡우방경로당,대구광역시 달서구 비슬로538길 22
진천청구경로당,대구광역시 달서구 진천로 41
현대2차경로당,대구광역시 달서구 월배로14길 43
제림하나로경로당,대구광역시 달서구 상화로21길 55 
삼미타운경로당,대구광역시 달서구 월배로34길 27
상인평광경로당,대구광역시 달서구 상인서로 3
채정경로당,대구광역시 달서구 상인로9안길 69
성서주공1단지경로당,대구광역시 달서구 신당로 56
감삼청구타운경로당,대구광역시 달서구 달구벌대로304길 51
용산경로당,대구광역시 달서구 와룡로57길 100
유천화성타운경로당,대구광역시 달서구 비슬로 2731 
상인청구경로당,대구광역시 달서구 상인로 105 
상이군경회달서경로당,대구광역시 달서구 야외음악당로2길 25
진천현대경로당,대구광역시 달서구 상화북로5길 39
월촌경로당,대구광역시 달서구 상인서로10길 42
상인동서경로당,대구광역시 달서구 상인서로 39 
상인보성경로당,대구광역시 달서구 상인서로 75 
상인동방현대경로당,대구광역시 달서구 상인서로 85 
상인서한경로당,대구광역시 달서구 상인서로 51 
상인우방경로당,대구광역시 달서구 상인서로 65 
월곡경로당,대구광역시 달서구 월곡로27길 27
상인제림경로당,대구광역시 달서구 상화북로 196
장미4단지경로당,대구광역시 달서구 상화로 380 
장미3단지경로당,대구광역시 달서구 상화로 370
비둘기할머니경로당,대구광역시 달서구 상화로 371
비둘기아파트경로당,대구광역시 달서구 상화로 373
송현우방경로당,대구광역시 달서구 송현로 103
범어2동제1경로당,대구광역시 수성구 동원로11길 14
우방2차경로당,대구광역시 수성구 동대구로48길 33
우방1차 경로당,대구광역시 수성구 동대구로 230
범어3동 제1경로당,대구광역시 수성구 들안로78길 46
수성데시앙아파트 경로당,대구광역시 수성구 들안로 360 
시지효성백년가약1단지 경로당,대구광역시 수성구 달구벌대로 3280
수성데시앙아파트경로당,대구광역시 수성구 들안로 360 
팔현경로당,대구광역시 수성구 팔현길 88-5
무학경로당,대구광역시 수성구 청수로38길 53-11 
열린경로당,대구광역시 수성구 수성로72길 39 
상록수경로당,대구광역시 수성구 들안로29길 26-18
수성2차e편한세상 장수회경로당,대구광역시 수성구 달구벌대로522길 33 
수성월드메르디앙경로당,대구광역시 수성구 노변로 55 
캐슬골드파크3단지 경로당,대구광역시 수성구 청수로 257
신매역 우방유쉘 경로당,대구광역시 수성구 천을로23길 21 
유성푸르나임 경로당,대구광역시 수성구 수성로75길 16
대우트럼프월드수성경로당,대구광역시 수성구 동대구로 59
캐슬골드파크 1단지 경로당,대구광역시 수성구 청수로 213
범어유림노르웨이 숲 경로당,대구광역시 수성구 동대구로50길 37 
범어태왕아너스 경로당,대구광역시 수성구 상록로 41 
수성그린타운경로당,대구광역시 수성구 달구벌대로458길 17
우방팔레스경로당,대구광역시 수성구 청수로 551 
화성파크드림경로당,대구광역시 수성구 달구벌대로641길 31
매호효성백년가약경로당,대구광역시 수성구 천을로23길 31 
파동 태왕리더스 경로당,대구광역시 수성구 파동로 105 
푸르지오경로당,대구광역시 수성구 달구벌대로661길 7 
범어청구푸른마을경로당,대구광역시 수성구 동대구로 240 
새마을경로당,대구광역시 서구 서대구로36길 5-16 
평리경로당,대구광역시 서구 서대구로42길 67-1 
만수경로당,대구광역시 서구 평리로57길 15
광명경로당,대구광역시 서구 문화로37길 6
상리2동경로당,대구광역시 서구 가르뱅이로 63-24
이현경로당,대구광역시 서구 북비산로 104-8
중리시영2차경로당,대구광역시 서구 국채보상로38길 32
꽃동네경로당,대구광역시 서구 평리로 221
중리경로당,대구광역시 서구 와룡로70길 66
진달래2차경로당,대구광역시 서구 국채보상로38길 22
중리시영경로당,대구광역시 서구 당산로 324 
중리아파트경로당,대구광역시 서구 국채보상로34길 12
황성정경로당,대구광역시 서구 통학로 46 
홍실2차아파트경로당,대구광역시 서구 통학로 39
비산1동경로당,대구광역시 서구 통학로52길 30 
대성경로당,대구광역시 달서구 야외음악당로49길 49
구마아파트여자경로당,대구광역시 달서구 대명천로51길 56 
감삼제2경로당,대구광역시 달서구 감삼1길 96 
장기동노인회,대구광역시 달서구 문화회관2길 18 
대백창신한라경로당,대구광역시 달서구 성서서로 316 
진천우방경로당,대구광역시 달서구 진천로4길 39 
보성은하타운경로당,대구광역시 달서구 월곡로 320 
동화태왕한양경로당,대구광역시 달서구 상인서로 94
성지맨션경로당,대구광역시 달서구 상화북로 195
보라맨션경로당,대구광역시 달서구 월곡로 171
도원경로당,대구광역시 달서구 수밭길 60-29
백일월성경로당,대구광역시 달서구 월곡로94길 30 
귀빈경로당,대구광역시 달서구 월배로32안길 61
송곡경로당,대구광역시 달서구 앞산순환로61길 14 
화성타운경로당,대구광역시 달서구 학산로2길 27 
1차보성경로당,대구광역시 달서구 학산로 30
우방타운경로당,대구광역시 달서구 학산로2길 11
월성청구경로당,대구광역시 달서구 학산로2길 24 
월성영남경로당,대구광역시 달서구 학산로2길 39 
