사업장명,정제도로명주소
서한맨션경로당,대구광역시 북구 관음중앙로 6
선학경로당,대구광역시 북구 성북로 50
한라타운경로당,대구광역시 북구 칠곡중앙대로91길 58
고성아파트경로당,대구광역시 북구 고성북로 3
침산우국경로당,대구광역시 북구 옥산로17길 50
산격복지경로당,대구광역시 북구 연암로 183
남장수경로당,대구광역시 북구 오봉로6길 10
현대맨션경로당,대구광역시 북구 복현로 115
유성청구APT 남경로당,대구광역시 북구 검단로 115
에덴팔공경로당,대구광역시 북구 구암로22길 14
두성파크경로당,대구광역시 북구 학정로13길 16
노곡제3경로당,대구광역시 북구 노곡로 25
현대2차APT경로당,대구광역시 북구 대천로7길 26
럭키아파트경로당,대구광역시 북구 팔거천서로 181
롯데APT경로당,대구광역시 북구 구암로 12
한신APT경로당,대구광역시 북구 관음로 50
제일맨션경로당,대구광역시 북구 칠곡중앙대로 454
공작APT경로당,대구광역시 북구 구암로21길 38
새마을경로당,대구광역시 북구 태암로5길 12
노원1.2가경로당,대구광역시 북구 노원로16길 88
들샘경로당,대구광역시 북구 경진로4길 25-1
우방미진경로당,대구광역시 북구 칠곡중앙대로52길 46
들말경로당,대구광역시 북구 대천로18길 8
죽림경로당,대구광역시 북구 동암로7길 83
시호정경로당,대구광역시 북구 동암로7길 83
칠성1가경로당,대구광역시 북구 칠성시장로1길 60-3
중앙경로당,대구광역시 북구 칠곡중앙대로114길 10
대동경로당,대구광역시 북구 대천로9길 7
읍내2동경로당,대구광역시 북구 칠곡중앙대로 526
태전1동경로당,대구광역시 북구 태전로13길 12-42
일심경로당,대구광역시 북구 성북로 8
동진아파트경로당,대구광역시 북구 동북로50길 10
목련APT경로당,대구광역시 북구 구암로15길 38
장수정경로당,대구광역시 북구 대구체육관로10길 22-1
칠성2가2동경로당,대구광역시 북구 공평로 179-6
전원맨션경로당,대구광역시 북구 칠곡중앙대로46길 25
옥산할머니경로당,대구광역시 북구 칠성시장로25길 15
성화A경로당,대구광역시 북구 복현로 114-18
