측정소,측정요소2,측정수치
노원동,CO,0.003703703703703704
노원동,NO2,0.027925925925925934
노원동,O3,0.02733333333333334
노원동,PM10,55.89655172413793
노원동,PM25,32.32258064516129
노원동,SO2,0.4407407407407409
대명동,CO,0.003807692307692309
대명동,NO2,0.02723076923076924
대명동,O3,0.033076923076923094
대명동,PM10,50.96666666666667
대명동,PM25,31.103448275862068
대명동,SO2,0.46538461538461545
만촌동,CO,0.004538461538461541
만촌동,NO2,0.025807692307692313
만촌동,O3,0.03173076923076924
만촌동,PM10,39.7
만촌동,PM25,22.233333333333334
만촌동,SO2,0.4653846153846153
서호동,CO,0.004080000000000002
서호동,NO2,0.02656000000000001
서호동,O3,0.03092000000000001
서호동,PM10,49.354838709677416
서호동,PM25,29.4
서호동,SO2,0.556
수창동,CO,0.004666666666666669
수창동,NO2,0.028692307692307698
수창동,O3,0.024629629629629644
수창동,PM10,52.06666666666667
수창동,PM25,33.32258064516129
수창동,SO2,0.46666666666666673
신암동,CO,0.002653846153846155
신암동,NO2,0.02265384615384616
신암동,O3,0.033730769230769245
신암동,PM10,43.8
신암동,PM25,28.774193548387096
신암동,SO2,0.4192307692307693
이곡동,CO,0.003703703703703705
이곡동,NO2,0.029185185185185196
이곡동,O3,0.02548148148148149
이곡동,PM10,57.70967741935484
이곡동,PM25,37.43333333333333
이곡동,SO2,0.6555555555555557
이현동,CO,0.0038888888888888896
이현동,NO2,0.024962962962962968
이현동,O3,0.034703703703703716
이현동,PM10,55.774193548387096
이현동,PM25,32.064516129032256
이현동,SO2,0.5259259259259258
지산동,CO,0.005269230769230772
지산동,NO2,0.02128000000000001
지산동,O3,0.03173076923076924
지산동,PM10,46.766666666666666
지산동,PM25,24.833333333333332
지산동,SO2,0.44799999999999995
태전동,CO,0.0032692307692307704
태전동,NO2,0.027038461538461546
태전동,O3,0.03161538461538463
태전동,PM10,53.3
태전동,PM25,29.3
태전동,SO2,0.5846153846153845
평리동,CO,0.00553846153846154
평리동,NO2,0.036961538461538476
평리동,O3,0.020115384615384625
평리동,PM10,62.3
평리동,PM25,39.483870967741936
평리동,SO2,0.6115384615384614
현풍면,CO,0.002666666666666668
현풍면,NO2,0.017444444444444453
현풍면,O3,0.032111111111111125
현풍면,PM10,36.96774193548387
현풍면,PM25,21.322580645161292
현풍면,SO2,0.48148148148148157
호림동,CO,0.0029259259259259273
호림동,NO2,0.01933333333333334
호림동,O3,0.02792592592592594
호림동,PM10,38.935483870967744
호림동,PM25,25.451612903225808
호림동,SO2,0.45555555555555566
