상가업소번호,상호명,상권업종분류명,도로명주소,lat,lng
15746480,예원어린이집,유아교육,대구광역시 달서구 장기로 242,35.8453483,128.5344865
15768431,애플트리놀이방,유아교육,대구광역시 수성구 지산로11길 6-9,35.8264429,128.633061
15770746,아이맘어린이집,유아교육,대구광역시 수성구 청수로 214,35.8393325,128.6320687
15775360,요미요미달서교육원,유아교육,대구광역시 달서구 월서로 63,35.81898810000001,128.5281823
15780843,우방하이츠어린이집,유아교육,대구광역시 달서구 월배로11길 33,35.8147896,128.5184275
15785139,웃는어린이집,유아교육,대구광역시 북구 학정동로 10,35.9447972,128.5681614
15789449,웰리치어린이집,유아교육,대구광역시 수성구 범어로24길 19,35.8598952,128.6368445
15808502,이레어린이집,유아교육,대구광역시 달서구 성서동로 355-20,35.8531924,128.5134263
15819692,정부대구합동청사행복한어린이집,유아교육,대구광역시 달서구 화암로 301,35.805875,128.520565
15828896,조은친구어린이집,유아교육,대구광역시 수성구 용학로 272,35.8200687,128.6385216
15846939,채송화어린이집,유아교육,대구광역시 북구 관음중앙로33길 8-1,35.9456281,128.5499872
15848184,천사어린이집,유아교육,대구광역시 북구 팔거천동로24길 40,35.9325291,128.5607648
15892764,토마스어린이집,유아교육,대구광역시 북구 관음동로9길 3-5,35.936985,128.5467265
15893046,토마토어린이집,유아교육,대구광역시 북구 오봉로6길 15,35.8901079,128.5786264
15897612,팅커벨어린이집,유아교육,대구광역시 달서구 한실로 117,35.8082468,128.5381737
15906761,푸른하늘어린이집,유아교육,대구광역시 동구 동촌로 161,35.8840157,128.6584908
15912710,한빛무지개어린이집,유아교육,대구광역시 달서구 월배로 280,35.8199581,128.5439044
15921149,해피트리어린이집,유아교육,대구광역시 달서구 장기로 145,35.8420886,128.5430537
15922883,하늘사랑어린이집,유아교육,대구광역시 중구 남산로7길 80,35.8599331,128.579677
15926558,하나어린이집,유아교육,대구광역시 동구 아양로39길 20,35.8877808,128.6350021
15927155,햇살어린이집,유아교육,대구광역시 동구 송라로14길 17,35.8745222,128.6196936
15956560,썬샤인어린이집,유아교육,대구광역시 수성구 교학로 109,35.8512528,128.6515428
15990477,대구동구공동육아협동조합동동어린이집,유아교육,대구광역시 동구 율하동로21길 34-1,35.8692699,128.6987624
16053596,블럭업봉리점,유아교육,대구광역시 달성군 유가면 테크노상업로 108,35.6934153,128.4600017
16128198,휴포레강북어린이집,유아교육,대구광역시 북구 태암남로 60,35.9231352,128.5524839
16139768,리틀비틀키즈카페,유아교육,대구광역시 달서구 달구벌대로 1525,35.8501274,128.5338134
16200337,짐보리,유아교육,대구광역시 남구 명덕로 334,35.8547884,128.6066993
20751504,청아키즈,유아교육,대구광역시 수성구 공경로 51,35.8722475,128.643488
20752886,장미어린이집,유아교육,대구광역시 수성구 명덕로76안길 37,35.8512152,128.6099657
20755171,기빙트리,유아교육,대구광역시 수성구 시지로 25-2,35.8402953,128.6930122
20758685,키즈팡팡,유아교육,대구광역시 수성구 화랑로2길 105,35.8683481,128.6367726
20767341,키즈클럽,유아교육,대구광역시 수성구 달구벌대로 3188,35.8403657,128.7052456
20767507,프라임놀이학교,유아교육,대구광역시 수성구 달구벌대로 3188,35.8403657,128.7052456
20788821,아동스포전문교육기관,유아교육,대구광역시 수성구 신매로 71,35.8362134,128.7073717
20791035,아이리더스쿨,유아교육,대구광역시 수성구 들안로 354-1,35.8616879,128.6180358
20791350,미술로생각하기,유아교육,대구광역시 달서구 월곡로 180,35.8122353,128.5451608
20794451,국제어린이집,유아교육,대구광역시 북구 검단로41길 11,35.9133146,128.6269839
20803039,키다리방방,유아교육,대구광역시 서구 국채보상로 163,35.8696142,128.5489698
20808625,플레이봉봉,유아교육,대구광역시 수성구 국채보상로 836,35.8675196,128.6373666
20832580,해님어린이집,유아교육,대구광역시 서구 서대구로7길 2,35.861293,128.5560773
20842640,창의영재교육원,유아교육,대구광역시 수성구 달구벌대로 3083,35.8434463,128.6944267
20842902,께비블럭,유아교육,대구광역시 수성구 달구벌대로647길 20-9,35.8403447,128.7123143
20846080,스마트러닝센타,유아교육,대구광역시 달서구 월서로 28,35.8205892,128.5317951
20877047,영지어린이집,유아교육,대구광역시 동구 율하동로21길 34-7,35.8696147,128.6988318
21044497,지혜놀이방,유아교육,대구광역시 달서구 월배로40길 118-7,35.8139208,128.539157
21082599,하나선교놀이방,유아교육,대구광역시 동구 반야월로 396,35.8715443,128.7319924
21084259,청솔어린이집,유아교육,대구광역시 서구 달서로36길 12,35.8782432,128.5725808
21084394,한솔어린이집,유아교육,대구광역시 서구 달서천로65길 28,35.8867328,128.5704589
