측정소,측정요소2,측정수치
노원동,CO,0.002923076923076924
노원동,NO2,0.02000000000000001
노원동,O3,0.025653846153846162
노원동,PM10,47.54838709677419
노원동,PM25,27.5
노원동,SO2,0.4038461538461539
대명동,CO,0.0036153846153846167
대명동,NO2,0.023923076923076932
대명동,O3,0.027730769230769243
대명동,PM10,46.833333333333336
대명동,PM25,27.96551724137931
대명동,SO2,0.292
만촌동,CO,0.003000000000000002
만촌동,NO2,0.022333333333333344
만촌동,O3,0.029153846153846166
만촌동,PM10,39.58620689655172
만촌동,PM25,23.571428571428573
만촌동,SO2,0.3888888888888889
서호동,CO,0.003555555555555557
서호동,NO2,0.022703703703703716
서호동,O3,0.028925925925925938
서호동,PM10,42.51724137931034
서호동,PM25,26.93103448275862
서호동,SO2,0.44444444444444453
수창동,CO,0.003500000000000001
수창동,NO2,0.023785714285714295
수창동,O3,0.0312857142857143
수창동,PM10,42.89655172413793
수창동,PM25,26.689655172413794
수창동,SO2,0.4607142857142858
시지동,CO,0.0003333333333333333
시지동,NO2,0.0035666666666666668
시지동,O3,0.005366666666666668
시지동,PM10,8.387096774193548
시지동,PM25,4.580645161290323
시지동,SO2,0.05666666666666667
신암동,CO,0.002884615384615386
신암동,NO2,0.022384615384615395
신암동,O3,0.03180769230769232
신암동,PM10,39.3448275862069
신암동,PM25,24.689655172413794
신암동,SO2,0.4692307692307693
이곡동,CO,0.002666666666666667
이곡동,NO2,0.028851851851851868
이곡동,O3,0.025074074074074085
이곡동,PM10,48.806451612903224
이곡동,PM25,28.5
이곡동,SO2,0.5259259259259258
이현동,CO,0.002821428571428573
이현동,NO2,0.025392857142857158
이현동,O3,0.0282857142857143
이현동,PM10,48.03448275862069
이현동,PM25,30.035714285714285
이현동,SO2,0.34642857142857153
지산동,CO,0.0
지산동,NO2,0.0
지산동,O3,0.0
지산동,PM10,0.0
지산동,PM25,0.0
지산동,SO2,0.0
진천동,CO,0.00043333333333333337
진천동,NO2,0.0033333333333333335
진천동,O3,0.005
진천동,PM10,8.838709677419354
진천동,PM25,5.129032258064516
진천동,SO2,0.08666666666666666
태전동,CO,0.0029285714285714297
태전동,NO2,0.01900000000000001
태전동,O3,0.027896551724137943
태전동,PM10,42.096774193548384
태전동,PM25,24.258064516129032
태전동,SO2,0.5428571428571428
평리동,CO,0.0033846153846153857
평리동,NO2,0.029807692307692327
평리동,O3,0.022538461538461545
평리동,PM10,56.17857142857143
평리동,PM25,18.366666666666667
평리동,SO2,0.573076923076923
현풍면,CO,0.0023214285714285724
현풍면,NO2,0.016214285714285723
현풍면,O3,0.0350357142857143
현풍면,PM10,29.677419354838708
현풍면,PM25,17.64516129032258
현풍면,SO2,0.4821428571428572
호림동,CO,0.002821428571428573
호림동,NO2,0.01750000000000001
호림동,O3,0.030000000000000016
호림동,PM10,35.903225806451616
호림동,PM25,21.266666666666666
호림동,SO2,0.3555555555555557
