2015 년 행정구역 배출량,,,,,,,,,,,,,,
,,,,,,조사년도,오염물질,,,,,,,
,,,,,,2015년,2015년,2015년,2015년,2015년,2015년,2015년,2015년,"2015년 (단위:kg , 비산먼지 포함)"
시도,시군구,배출원대분류,배출원중분류,배출원소분류,연료대분류,CO,NOx,SOx,TSP,PM10,PM2.5,VOC,NH3,BC
서울특별시,종로구,도로이동오염원,승용차,소형,LPG,199,35,,,,,9,,
서울특별시,종로구,도로이동오염원,승용차,중형,경유,"1,215","22,547",12,92,92,85,721,18,49
서울특별시,종로구,도로이동오염원,승용차,중형,휘발유,"158,375","24,678",56,15,15,14,"24,984","8,646",3
서울특별시,종로구,도로이동오염원,승용차,중형,LPG,"21,393","3,918",10,,,,825,,
서울특별시,종로구,도로이동오염원,승용차,대형,경유,506,"8,553",,40,40,37,286,,21
서울특별시,종로구,도로이동오염원,승용차,대형,휘발유,"117,230","16,546",45,18,18,17,"16,220","6,868",3
서울특별시,종로구,도로이동오염원,승용차,대형,LPG,"6,225","1,046",3,,,,216,,
서울특별시,종로구,도로이동오염원,택시,중형,LPG,"14,228","3,200",67,,,,822,,
서울특별시,종로구,도로이동오염원,택시,대형,LPG,392,85,2,,,,26,,
서울특별시,종로구,도로이동오염원,승합차,경형,휘발유,178,54,,,,,62,6,
서울특별시,종로구,도로이동오염원,승합차,경형,LPG,"3,790",506,1,,,,278,,
서울특별시,종로구,도로이동오염원,승합차,소형,경유,"1,388","25,612",8,785,785,722,524,12,415
서울특별시,종로구,도로이동오염원,승합차,소형,휘발유,24,3,,,,,4,,
서울특별시,종로구,도로이동오염원,승합차,소형,LPG,"1,687",324,,,,,76,,
서울특별시,종로구,도로이동오염원,승합차,중형,경유,347,"3,878",1,13,13,12,77,1,7
서울특별시,종로구,도로이동오염원,승합차,대형,경유,201,"1,390",1,6,6,6,19,,5
서울특별시,종로구,도로이동오염원,승합차,특수,경유,956,"5,632",2,57,57,52,248,1,40
서울특별시,종로구,도로이동오염원,버스,시내버스,CNG,"3,248","84,887",,,,,"100,139",,
서울특별시,종로구,도로이동오염원,버스,전세버스,경유,226,"1,226",1,7,7,6,18,,5
서울특별시,종로구,도로이동오염원,화물차,경형,휘발유,41,21,,,,,9,4,
서울특별시,종로구,도로이동오염원,화물차,경형,LPG,"7,105","1,212",4,,,,592,,
서울특별시,종로구,도로이동오염원,화물차,소형,경유,"9,980","120,682",37,"3,560","3,560","3,276","2,292",61,"1,883"
서울특별시,종로구,도로이동오염원,화물차,소형,휘발유,50,11,,,,,4,,
서울특별시,종로구,도로이동오염원,화물차,소형,LPG,"4,801","1,397",1,,,,279,,
서울특별시,종로구,도로이동오염원,화물차,중형,경유,"8,670","56,541",27,661,661,608,"2,195",11,141
서울특별시,종로구,도로이동오염원,화물차,대형,경유,251,"3,463",1,24,24,22,39,1,17
서울특별시,종로구,도로이동오염원,화물차,특수,경유,16,223,,1,1,1,5,,1
서울특별시,종로구,도로이동오염원,특수차,구난차,경유,189,435,,11,11,10,54,,8
서울특별시,종로구,도로이동오염원,특수차,견인차,경유,215,"1,417",1,16,16,14,69,1,11
서울특별시,종로구,도로이동오염원,특수차,기타,경유,2,8,,,,,1,,
서울특별시,종로구,도로이동오염원,RV,소형,경유,"8,014","89,718",34,"1,929","1,929","1,774","2,486",52,"1,020"
서울특별시,종로구,도로이동오염원,RV,소형,휘발유,"2,623",207,,,,,209,,
서울특별시,종로구,도로이동오염원,RV,소형,LPG,"20,259","4,306",4,,,,911,,
서울특별시,종로구,도로이동오염원,RV,중형,경유,"19,259","70,736",21,"2,902","2,902","2,669","2,948",33,"1,534"
서울특별시,종로구,도로이동오염원,RV,중형,휘발유,718,59,,,,,89,,
서울특별시,종로구,도로이동오염원,RV,중형,LPG,"9,449","2,145",2,,,,403,,
서울특별시,종로구,도로이동오염원,이륜차,50cc 미만,휘발유,"13,758",67,1,,,,791,4,
서울특별시,종로구,도로이동오염원,이륜차,50cc 이상,휘발유,"60,131","4,622",13,,,,"4,504",79,
서울특별시,종로구,도로이동오염원,이륜차,100cc 이상,휘발유,"176,589","13,575",38,,,,"13,227",232,
서울특별시,종로구,도로이동오염원,이륜차,260cc 이상,휘발유,"10,221","1,976",4,,,,"1,070",25,
서울특별시,종로구,비도로이동오염원,건설장비,불도저,경유,"4,215","8,298",3,450,450,414,"1,317",2,320
서울특별시,종로구,비도로이동오염원,건설장비,로우더,경유,"19,342","38,458",15,"2,060","2,060","1,895","5,217",11,"1,461"
서울특별시,종로구,비도로이동오염원,건설장비,지게차,경유,"89,990","189,615",77,"10,683","10,683","9,829","25,698",55,"7,580"
서울특별시,종로구,비도로이동오염원,건설장비,굴삭기,경유,"96,195","187,681",92,"10,194","10,194","9,379","21,763",66,"7,233"
서울특별시,종로구,비도로이동오염원,건설장비,기중기,경유,"12,905","42,019",13,"1,638","1,638","1,507","4,923",10,"1,162"
서울특별시,종로구,비도로이동오염원,건설장비,콘크리트펌프,경유,"7,990","14,013",10,329,329,302,"2,488",8,233
서울특별시,종로구,비도로이동오염원,건설장비,로울러,경유,"4,765","9,373",3,526,526,484,"1,381",2,373
서울특별시,종로구,비도로이동오염원,건설장비,공기압축기,경유,"4,725","15,375",5,594,594,547,"2,000",4,422
서울특별시,종로구,비도로이동오염원,건설장비,천공기,경유,"2,575","8,434",3,328,328,302,"1,070",2,233
서울특별시,종로구,폐기물처리,폐기물소각,생활폐기물,기타,"1,052","3,788",842,105,76,69,42,,1
서울특별시,종로구,폐기물처리,폐기물소각,사업장폐기물(플레어링 제외),기타,,,,,,,,,
서울특별시,종로구,폐기물처리,기타 폐기물 처리,산업폐수 처리,기타,,,,,,,,1,
서울특별시,종로구,농업,분뇨관리,기타,기타,,,,,,,,"36,535",
서울특별시,종로구,기타 면오염원,산불 및 화재,산불,기타,71,2,,9,5,5,12,,
서울특별시,종로구,기타 면오염원,산불 및 화재,일반화재,기타,"38,662",910,,"2,496","1,586","1,427","3,198",,63
서울특별시,종로구,기타 면오염원,동물,인간,기타,,,,,,,,"38,746",
서울특별시,종로구,비산먼지,도로재비산먼지,승용차,기타,,,,"101,308","19,446","4,705",,,49
서울특별시,종로구,비산먼지,도로재비산먼지,택시,기타,,,,"52,259","10,031","2,427",,,25
서울특별시,종로구,비산먼지,도로재비산먼지,승합차,기타,,,,"7,198","1,382",334,,,3
서울특별시,종로구,비산먼지,도로재비산먼지,버스,기타,,,,"8,716","1,673",405,,,4
서울특별시,종로구,비산먼지,도로재비산먼지,화물차,기타,,,,"33,440","6,419","1,553",,,16
서울특별시,종로구,비산먼지,도로재비산먼지,특수차,기타,,,,143,27,7,,,
서울특별시,종로구,비산먼지,도로재비산먼지,RV,기타,,,,"39,723","7,625","1,845",,,19
서울특별시,종로구,비산먼지,건설공사,주거시설,기타,,,,"8,524","5,848",585,,,
서울특별시,종로구,비산먼지,건설공사,비주거시설,기타,,,,"259,940","178,316","17,832",,,
서울특별시,종로구,비산먼지,나대지,학교운동장,기타,,,,"88,889","34,667","5,200",,,1
서울특별시,종로구,비산먼지,농업활동,경지정리,기타,,,,199,90,18,,,
서울특별시,종로구,비산먼지,농업활동,수확,기타,,,,998,288,58,,,
서울특별시,종로구,생물성 연소,노천 소각,생활폐기물 소각,기타,270,35,,86,59,52,288,,2
서울특별시,종로구,생물성 연소,농업잔재물 소각,과수,기타,47,2,,5,2,1,24,,
서울특별시,종로구,생물성 연소,농업잔재물 소각,두류,기타,2,,,3,1,1,3,,
서울특별시,종로구,생물성 연소,농업잔재물 소각,잡곡,기타,52,1,,3,1,1,5,,
서울특별시,종로구,생물성 연소,농업잔재물 소각,채소,기타,559,12,,34,13,10,53,,3
서울특별시,종로구,생물성 연소,농업잔재물 소각,특용작물,기타,27,1,,6,2,2,9,,
서울특별시,종로구,생물성 연소,고기 및 생선구이,쇠고기,기타,35,29,6,"2,287","2,287","2,132",242,,86
서울특별시,종로구,생물성 연소,고기 및 생선구이,돼지고기,기타,118,84,18,"5,358","5,358","4,868","1,505",,197
서울특별시,종로구,생물성 연소,고기 및 생선구이,닭고기,기타,2,1,,291,291,274,43,,11
서울특별시,종로구,생물성 연소,고기 및 생선구이,오리고기,기타,15,10,2,478,478,441,281,,18
서울특별시,종로구,생물성 연소,목재난로및보일러,화목난로및보일러,기타,"2,142",20,2,185,81,52,619,,10
서울특별시,종로구,생물성 연소,아궁이,장작,기타,152,15,,3,2,1,41,,
서울특별시,종로구,생물성 연소,아궁이,생활폐기물,기타,14,2,,2,2,1,9,,
서울특별시,종로구,생물성 연소,아궁이,농업잔재물,기타,66,3,,1,1,1,15,,
서울특별시,중구,비산업 연소,상업 및 공공기관시설,기타,B-A유,69,690,"3,077",10,9,9,8,11,
서울특별시,중구,비산업 연소,상업 및 공공기관시설,기타,B-C유,"24,971","276,351","1,749,222","15,181","13,921","7,855","8,032","3,995",79
서울특별시,중구,비산업 연소,상업 및 공공기관시설,기타,경유,"10,712","42,847","1,683",304,278,178,536,"1,714",18
서울특별시,중구,비산업 연소,상업 및 공공기관시설,기타,등유,"1,508","5,430",26,12,11,10,75,241,1
서울특별시,중구,비산업 연소,상업 및 공공기관시설,기타,LPG,"1,315","6,378",29,21,21,21,346,75,8
서울특별시,중구,비산업 연소,상업 및 공공기관시설,기타,LNG,"42,050","243,101",657,197,197,197,"11,827","3,351",76
서울특별시,중구,비산업 연소,상업 및 공공기관시설,가스히트펌프,LNG,"597,279","444,821",,,,,,,
서울특별시,중구,비산업 연소,주거용시설,기타,무연탄,"37,549","6,798","12,011",700,537,280,47,,5
서울특별시,중구,비산업 연소,주거용시설,기타,경유,24,95,,7,6,4,1,4,
서울특별시,중구,비산업 연소,주거용시설,기타,등유,329,"1,185",6,26,24,23,16,53,2
서울특별시,중구,비산업 연소,주거용시설,기타,LNG,"23,965","138,550",374,"1,123","1,123","1,123","6,740","1,910",431
서울특별시,중구,제조업 연소,기타,광업,경유,118,474,2,5,4,2,6,19,
서울특별시,중구,제조업 연소,기타,광업,LNG,,1,,,,,,,
서울특별시,중구,제조업 연소,기타,"음,식료품 제조업",LNG,13,36,,,,,2,,
서울특별시,중구,제조업 연소,기타,"섬유제품제조업(봉제,의복 제외)",LNG,76,208,1,,,,10,3,
서울특별시,중구,제조업 연소,기타,봉제의복 및 모피제품 제조업,LNG,173,477,1,,,,23,7,
서울특별시,중구,제조업 연소,기타,"가죽,가방 및 신발 제조업",LNG,7,20,,,,,1,,
서울특별시,중구,제조업 연소,기타,목재 및 나무제품 제조업(가구 제외),LNG,5,14,,,,,1,,
서울특별시,중구,제조업 연소,기타,"펄프, 종이 및 종이제품 제조업",등유,9,36,,,,,1,1,
서울특별시,중구,제조업 연소,기타,"펄프, 종이 및 종이제품 제조업",LNG,31,86,,,,,4,1,
서울특별시,중구,제조업 연소,기타,"출판, 인쇄 및 기록매체 복제업",LNG,565,"1,556",4,1,1,1,76,21,
서울특별시,중구,제조업 연소,기타,화합물 및 화학제품 제조업,B-C유,306,"3,382","2,358",38,35,19,78,49,
서울특별시,중구,제조업 연소,기타,화합물 및 화학제품 제조업,경유,268,"1,070",4,11,10,4,13,43,
서울특별시,중구,제조업 연소,기타,화합물 및 화학제품 제조업,LPG,"23,485","70,760",306,220,220,220,"3,669",795,85
서울특별시,중구,제조업 연소,기타,화합물 및 화학제품 제조업,LNG,3,9,,,,,,,
서울특별시,중구,제조업 연소,기타,고무 및 플라스틱 제품 제조업,LNG,21,59,,,,,3,1,
서울특별시,중구,제조업 연소,기타,비금속광물제품 제조업,경유,182,728,3,7,7,3,9,29,
서울특별시,중구,제조업 연소,기타,비금속광물제품 제조업,LNG,1,4,,,,,,,
서울특별시,중구,제조업 연소,기타,제1차 금속산업,LNG,2,5,,,,,,,
서울특별시,중구,제조업 연소,기타,조립금속제품 제조업(기계 및 가구 제외),경유,8,31,8,,,,,1,
서울특별시,중구,제조업 연소,기타,조립금속제품 제조업(기계 및 가구 제외),LNG,26,72,,,,,3,1,
서울특별시,중구,제조업 연소,기타,기타 기계 및 장비 제조업,LNG,11,31,,,,,2,,
서울특별시,중구,제조업 연소,기타,컴퓨터 및 사무용기기 제조업,LNG,2,4,,,,,,,
서울특별시,중구,제조업 연소,기타,기타 전기기계 및 전기변환장치 제조업,LNG,13,35,,,,,2,,
서울특별시,중구,제조업 연소,기타,"전자부품, 영상, 음향 및 통신장비 제조업",LNG,4,10,,,,,,,
서울특별시,중구,제조업 연소,기타,"의료, 정밀, 광학기기 및 시계 제조업",LNG,8,22,,,,,1,,
서울특별시,중구,제조업 연소,기타,자동차 및 트레일러 제조업,LNG,,1,,,,,,,
서울특별시,중구,제조업 연소,기타,기타 운송장비 제조업,LNG,1,2,,,,,,,
서울특별시,중구,제조업 연소,기타,가구 및 기타제품 제조업,LPG,37,113,,,,,6,1,
서울특별시,중구,제조업 연소,기타,가구 및 기타제품 제조업,LNG,35,98,,,,,5,1,
서울특별시,중구,에너지수송 및 저장,휘발유 공급,주유소(주유시 포함),휘발유,,,,,,,"4,402",,
서울특별시,중구,유기용제 사용,도장시설,자동차 수리,기타,,,,,,,"10,932",,
서울특별시,중구,유기용제 사용,도장시설,건축 및 건물,기타,,,,,,,"520,788",,
서울특별시,중구,유기용제 사용,도장시설,코일 코팅,기타,,,,,,,"105,686",,
서울특별시,중구,유기용제 사용,도장시설,"나무,가구제조",기타,,,,,,,"23,291",,
서울특별시,중구,유기용제 사용,도장시설,기타 산업용 도장공정,기타,,,,,,,"18,335",,
서울특별시,중구,유기용제 사용,도장시설,기타 비산업용 도장공정,기타,,,,,,,"9,812",,
서울특별시,중구,유기용제 사용,세정시설,금속 세정공정,기타,,,,,,,446,,
서울특별시,중구,유기용제 사용,세정시설,전자부품 제조,기타,,,,,,,"2,092",,
서울특별시,중구,유기용제 사용,세정시설,기타 산업용 세정공정,기타,,,,,,,316,,
서울특별시,중구,유기용제 사용,세탁시설,세탁(드라이크리닝),기타,,,,,,,"70,803",,
서울특별시,중구,유기용제 사용,기타 유기용제사용,인쇄업,기타,,,,,,,"4,454,906",,
서울특별시,중구,유기용제 사용,기타 유기용제사용,가정 및 상업용 유기용제사용,기타,,,,,,,"331,935",,
서울특별시,중구,도로이동오염원,승용차,경형,휘발유,"41,315","2,965",15,,,,"6,342","2,366",
서울특별시,중구,도로이동오염원,승용차,경형,LPG,225,42,1,,,,15,,
서울특별시,중구,도로이동오염원,승용차,소형,경유,182,"2,424",1,43,43,40,48,2,23
서울특별시,중구,도로이동오염원,승용차,소형,휘발유,"69,706","10,419",11,1,1,1,"9,858","1,736",
서울특별시,중구,도로이동오염원,승용차,소형,LPG,213,38,,,,,10,,
서울특별시,중구,도로이동오염원,승용차,중형,경유,"1,189","22,327",11,92,92,84,704,18,48
서울특별시,중구,도로이동오염원,승용차,중형,휘발유,"157,551","24,743",56,15,15,14,"24,813","8,591",3
서울특별시,중구,도로이동오염원,승용차,중형,LPG,"20,361","3,720",10,,,,773,,
서울특별시,중구,도로이동오염원,승용차,대형,경유,483,"8,258",,39,39,36,272,,21
서울특별시,중구,도로이동오염원,승용차,대형,휘발유,"114,676","16,332",44,18,18,16,"15,898","6,776",3
서울특별시,중구,도로이동오염원,승용차,대형,LPG,"6,028","1,011",3,,,,206,,
서울특별시,중구,도로이동오염원,택시,중형,LPG,"9,971","2,246",48,,,,571,,
서울특별시,중구,도로이동오염원,택시,대형,LPG,274,59,1,,,,18,,
서울특별시,중구,도로이동오염원,승합차,경형,휘발유,166,51,,,,,58,6,
서울특별시,중구,도로이동오염원,승합차,경형,LPG,"3,397",454,1,,,,249,,
서울특별시,중구,도로이동오염원,승합차,소형,경유,"1,252","23,056",7,709,709,652,471,11,375
서울특별시,중구,도로이동오염원,승합차,소형,휘발유,24,3,,,,,4,,
서울특별시,중구,도로이동오염원,승합차,소형,LPG,"1,521",292,,,,,68,,
서울특별시,중구,도로이동오염원,승합차,중형,경유,267,"2,903",1,11,11,10,60,1,6
서울특별시,중구,도로이동오염원,승합차,대형,경유,143,989,,5,5,4,13,,3
서울특별시,중구,도로이동오염원,승합차,특수,경유,673,"3,981",1,40,40,37,175,1,28
서울특별시,중구,도로이동오염원,버스,시내버스,CNG,"2,920","77,279",,,,,"90,451",,
서울특별시,중구,도로이동오염원,버스,전세버스,경유,153,829,,5,5,4,12,,3
서울특별시,중구,도로이동오염원,화물차,경형,휘발유,51,26,,,,,11,5,
서울특별시,중구,도로이동오염원,화물차,경형,LPG,"8,362","1,413",5,,,,693,,
서울특별시,중구,도로이동오염원,화물차,소형,경유,"11,615","145,664",44,"4,238","4,238","3,899","2,699",74,"2,241"
서울특별시,중구,도로이동오염원,화물차,소형,휘발유,66,15,,,,,6,,
서울특별시,중구,도로이동오염원,화물차,소형,LPG,"5,494","1,592",1,,,,314,,
서울특별시,중구,도로이동오염원,화물차,중형,경유,"9,055","54,547",26,685,685,630,"2,282",11,146
서울특별시,중구,도로이동오염원,화물차,대형,경유,183,"2,536",1,18,18,16,29,,12
서울특별시,중구,도로이동오염원,화물차,특수,경유,16,222,,1,1,1,5,,1
서울특별시,중구,도로이동오염원,특수차,구난차,경유,151,349,,9,9,8,44,,6
서울특별시,중구,도로이동오염원,특수차,견인차,경유,148,980,,11,11,10,48,1,8
서울특별시,중구,도로이동오염원,특수차,기타,경유,2,8,,,,,1,,
서울특별시,중구,도로이동오염원,RV,소형,경유,"7,857","89,147",34,"1,913","1,913","1,760","2,444",52,"1,012"
서울특별시,중구,도로이동오염원,RV,소형,휘발유,"2,548",205,,,,,208,,
서울특별시,중구,도로이동오염원,RV,소형,LPG,"19,979","4,216",4,,,,882,,
서울특별시,중구,도로이동오염원,RV,중형,경유,"18,985","70,244",21,"2,881","2,881","2,650","2,899",33,"1,523"
서울특별시,중구,도로이동오염원,RV,중형,휘발유,680,57,,,,,86,,
서울특별시,중구,도로이동오염원,RV,중형,LPG,"9,314","2,100",2,,,,388,,
