2015 년 행정구역 배출량,,,,,,,,,,,,,,
,,,,,,조사년도,오염물질,,,,,,,
,,,,,,2015년,2015년,2015년,2015년,2015년,2015년,2015년,2015년,"2015년 (단위:kg , 비산먼지 포함)"
시도,시군구,배출원대분류,배출원중분류,배출원소분류,연료대분류,CO,NOx,SOx,TSP,PM10,PM2.5,VOC,NH3,BC
대구광역시,남구,제조업 연소,기타,가구 및 기타제품 제조업,LPG,15,45,,,,,2,1,
대구광역시,남구,제조업 연소,기타,가구 및 기타제품 제조업,LNG,16,45,,,,,2,1,
대구광역시,남구,생산공정,식음료 가공,"육류,생선가공",기타,,,,,,,4,,
대구광역시,남구,생산공정,식음료 가공,마가린과요리용지방,기타,,,,,,,"8,066",,
대구광역시,남구,생산공정,기타 제조업,유리(탄소제거공정),기타,5,221,144,5,4,4,10,,
대구광역시,남구,에너지수송 및 저장,휘발유 공급,주유소(주유시 포함),휘발유,,,,,,,"11,437",,
대구광역시,남구,유기용제 사용,도장시설,자동차 수리,기타,,,,,,,"20,438",,
대구광역시,남구,유기용제 사용,도장시설,건축 및 건물,기타,,,,,,,"151,504",,
대구광역시,남구,유기용제 사용,도장시설,코일 코팅,기타,,,,,,,"24,079",,
대구광역시,남구,유기용제 사용,도장시설,"나무,가구제조",기타,,,,,,,"6,344",,
대구광역시,남구,유기용제 사용,도장시설,기타 산업용 도장공정,기타,,,,,,,"1,319",,
대구광역시,남구,유기용제 사용,도장시설,기타 비산업용 도장공정,기타,,,,,,,"41,307",,
대구광역시,남구,유기용제 사용,세정시설,전자부품 제조,기타,,,,,,,434,,
대구광역시,남구,유기용제 사용,세정시설,기타 산업용 세정공정,기타,,,,,,,"2,920",,
대구광역시,남구,유기용제 사용,세탁시설,세탁(드라이크리닝),기타,,,,,,,"106,814",,
대구광역시,남구,유기용제 사용,기타 유기용제사용,인쇄업,기타,,,,,,,"10,421",,
대구광역시,남구,유기용제 사용,기타 유기용제사용,가정 및 상업용 유기용제사용,기타,,,,,,,"424,649",,
대구광역시,남구,유기용제 사용,기타 유기용제사용,아스팔트 도로 포장,기타,,,,,,,"50,617",,
대구광역시,남구,도로이동오염원,승용차,경형,경유,1,11,,,,,,,
대구광역시,남구,도로이동오염원,승용차,경형,휘발유,"59,189","4,006",19,1,1,,"8,004","3,444",
대구광역시,남구,도로이동오염원,승용차,경형,LPG,261,63,1,,,,16,,
대구광역시,남구,도로이동오염원,승용차,소형,경유,144,"2,169",1,40,40,37,35,2,21
대구광역시,남구,도로이동오염원,승용차,소형,휘발유,"65,648","11,662",13,1,1,1,"8,993","2,403",
대구광역시,남구,도로이동오염원,승용차,소형,LPG,198,40,,,,,9,,
대구광역시,남구,도로이동오염원,승용차,중형,경유,"1,157","23,696",12,87,87,80,664,22,46
대구광역시,남구,도로이동오염원,승용차,중형,휘발유,"137,133","24,970",58,19,19,17,"20,850","10,536",4
대구광역시,남구,도로이동오염원,승용차,중형,LPG,"34,909","6,703",19,,,,"1,148",,
대구광역시,남구,도로이동오염원,승용차,대형,경유,718,"13,986",,49,49,45,410,,26
대구광역시,남구,도로이동오염원,승용차,대형,휘발유,"93,593","15,784",45,21,21,20,"12,789","8,079",4
대구광역시,남구,도로이동오염원,승용차,대형,LPG,"8,768","1,579",5,,,,263,,
대구광역시,남구,도로이동오염원,택시,중형,LPG,"5,220","2,234",41,,,,253,,
대구광역시,남구,도로이동오염원,택시,대형,LPG,10,4,,,,,1,,
대구광역시,남구,도로이동오염원,승합차,경형,휘발유,31,11,,,,,15,1,
대구광역시,남구,도로이동오염원,승합차,경형,LPG,"1,555",197,1,,,,105,,
대구광역시,남구,도로이동오염원,승합차,소형,경유,"1,350","11,994",4,498,498,458,348,7,263
대구광역시,남구,도로이동오염원,승합차,소형,LPG,383,74,,,,,14,,
대구광역시,남구,도로이동오염원,승합차,중형,경유,975,"2,682",1,77,77,71,258,1,41
대구광역시,남구,도로이동오염원,승합차,대형,경유,337,"1,272",1,15,15,14,44,,10
대구광역시,남구,도로이동오염원,승합차,특수,경유,573,"2,958",1,38,38,35,149,1,27
대구광역시,남구,도로이동오염원,버스,시내버스,CNG,"1,685","32,366",,,,,"39,829",,
대구광역시,남구,도로이동오염원,버스,전세버스,경유,401,"1,496",1,15,15,13,40,1,10
대구광역시,남구,도로이동오염원,화물차,경형,휘발유,26,15,,,,,6,3,
대구광역시,남구,도로이동오염원,화물차,경형,LPG,"2,498",406,2,,,,192,,
대구광역시,남구,도로이동오염원,화물차,소형,경유,"20,519","134,176",43,"5,289","5,289","4,866","3,917",85,"2,797"
대구광역시,남구,도로이동오염원,화물차,소형,휘발유,31,8,,,,,3,,
대구광역시,남구,도로이동오염원,화물차,소형,LPG,"1,792",492,,,,,87,,
대구광역시,남구,도로이동오염원,화물차,중형,경유,"30,681","64,687",30,"2,156","2,156","1,983","8,914",16,459
대구광역시,남구,도로이동오염원,화물차,대형,경유,"1,122","5,217",1,188,188,173,269,1,133
대구광역시,남구,도로이동오염원,화물차,특수,경유,145,393,,10,10,9,40,,7
대구광역시,남구,도로이동오염원,특수차,구난차,경유,104,240,,7,7,6,30,,5
대구광역시,남구,도로이동오염원,특수차,견인차,경유,773,"1,769",1,50,50,46,224,1,36
대구광역시,남구,도로이동오염원,특수차,기타,경유,47,147,,3,3,3,14,,2
대구광역시,남구,도로이동오염원,RV,소형,경유,"8,921","102,153",39,"2,482","2,482","2,283","2,514",72,"1,312"
대구광역시,남구,도로이동오염원,RV,소형,휘발유,"1,295",121,,,,,119,,
대구광역시,남구,도로이동오염원,RV,소형,LPG,"22,483","4,645",5,,,,840,,
대구광역시,남구,도로이동오염원,RV,중형,경유,"18,889","65,202",20,"2,836","2,836","2,609","2,600",38,"1,500"
대구광역시,남구,도로이동오염원,RV,중형,휘발유,275,27,,,,,40,,
대구광역시,남구,도로이동오염원,RV,중형,LPG,"6,295","1,397",1,,,,213,,
대구광역시,남구,도로이동오염원,이륜차,50cc 미만,휘발유,"20,820",101,1,,,,"1,196",6,
대구광역시,남구,도로이동오염원,이륜차,50cc 이상,휘발유,"74,899","5,758",16,,,,"5,610",98,
대구광역시,남구,도로이동오염원,이륜차,100cc 이상,휘발유,"84,092","6,464",18,,,,"6,299",111,
대구광역시,남구,도로이동오염원,이륜차,260cc 이상,휘발유,"3,760",727,1,,,,394,9,
대구광역시,남구,비도로이동오염원,건설장비,불도저,경유,"1,200","2,364",1,128,128,118,375,1,91
대구광역시,남구,비도로이동오염원,건설장비,로우더,경유,"5,510","10,955",4,587,587,540,"1,486",3,416
대구광역시,남구,비도로이동오염원,건설장비,지게차,경유,"25,633","54,011",22,"3,043","3,043","2,800","7,320",16,"2,159"
대구광역시,남구,비도로이동오염원,건설장비,굴삭기,경유,"27,401","53,460",26,"2,904","2,904","2,671","6,199",19,"2,060"
대구광역시,남구,비도로이동오염원,건설장비,기중기,경유,"3,676","11,969",4,466,466,429,"1,402",3,331
대구광역시,남구,비도로이동오염원,건설장비,콘크리트펌프,경유,"2,276","3,992",3,94,94,86,709,2,66
대구광역시,남구,비도로이동오염원,건설장비,로울러,경유,"1,357","2,670",1,150,150,138,393,1,106
대구광역시,남구,비도로이동오염원,건설장비,공기압축기,경유,"1,346","4,379",2,169,169,156,570,1,120
대구광역시,남구,비도로이동오염원,건설장비,천공기,경유,734,"2,402",1,93,93,86,305,1,66
대구광역시,남구,폐기물처리,기타 폐기물 처리,산업폐수 처리,기타,,,,,,,,,
대구광역시,남구,기타 면오염원,산불 및 화재,산불,기타,71,2,,9,5,5,12,,
대구광역시,남구,기타 면오염원,산불 및 화재,일반화재,기타,"12,937",305,,835,531,478,"1,070",,21
대구광역시,남구,기타 면오염원,동물,인간,기타,,,,,,,,"40,213",
대구광역시,남구,비산먼지,도로재비산먼지,승용차,기타,,,,"128,111","24,591","5,949",,,62
대구광역시,남구,비산먼지,도로재비산먼지,택시,기타,,,,"31,762","6,097","1,475",,,15
대구광역시,남구,비산먼지,도로재비산먼지,승합차,기타,,,,"3,872",743,180,,,2
대구광역시,남구,비산먼지,도로재비산먼지,버스,기타,,,,"4,017",771,187,,,2
대구광역시,남구,비산먼지,도로재비산먼지,화물차,기타,,,,"41,261","7,920","1,916",,,20
대구광역시,남구,비산먼지,도로재비산먼지,특수차,기타,,,,214,41,10,,,
대구광역시,남구,비산먼지,도로재비산먼지,RV,기타,,,,"48,468","9,303","2,251",,,24
대구광역시,남구,비산먼지,건설공사,주거시설,기타,,,,"18,505","12,694","1,269",,,
대구광역시,남구,비산먼지,건설공사,비주거시설,기타,,,,"17,519","12,018","1,202",,,
대구광역시,남구,비산먼지,나대지,학교운동장,기타,,,,"63,559","24,788","3,718",,,1
대구광역시,남구,비산먼지,농업활동,경지정리,기타,,,,49,22,4,,,
대구광역시,남구,비산먼지,농업활동,수확,기타,,,,"1,079",352,70,,,
대구광역시,남구,생물성 연소,노천 소각,생활폐기물 소각,기타,"1,337",175,,427,293,259,"1,429",1,11
대구광역시,남구,생물성 연소,농업잔재물 소각,과수,기타,"3,413",182,,412,187,149,"2,085",,43
대구광역시,남구,생물성 연소,농업잔재물 소각,두류,기타,72,2,,137,55,46,125,,7
대구광역시,남구,생물성 연소,농업잔재물 소각,잡곡,기타,367,8,,22,8,7,35,,2
대구광역시,남구,생물성 연소,농업잔재물 소각,채소,기타,"3,963",83,,241,90,74,373,,19
대구광역시,남구,생물성 연소,농업잔재물 소각,특용작물,기타,"6,292",237,,"1,549",547,461,"1,726",,62
대구광역시,남구,생물성 연소,농업잔재물 소각,맥류,기타,29,1,,6,4,3,8,,
대구광역시,남구,생물성 연소,고기 및 생선구이,쇠고기,기타,7,6,1,471,471,439,50,,18
대구광역시,남구,생물성 연소,고기 및 생선구이,돼지고기,기타,24,17,4,"1,103","1,103","1,002",310,,41
대구광역시,남구,생물성 연소,고기 및 생선구이,닭고기,기타,,,,60,60,56,9,,2
대구광역시,남구,생물성 연소,고기 및 생선구이,오리고기,기타,3,2,,98,98,91,58,,4
대구광역시,남구,생물성 연소,목재난로및보일러,화목난로및보일러,기타,"12,216",112,11,"1,059",462,293,"3,508",1,55
대구광역시,남구,생물성 연소,아궁이,장작,기타,"1,225",122,2,28,13,11,327,,3
대구광역시,남구,생물성 연소,아궁이,생활폐기물,기타,111,18,,16,13,10,72,,
대구광역시,남구,생물성 연소,아궁이,농업잔재물,기타,533,24,1,10,9,8,124,,1
대구광역시,북구,비산업 연소,상업 및 공공기관시설,"1,2,3종(보일러)",LNG,540,"1,486",4,12,12,12,72,20,5
대구광역시,북구,비산업 연소,상업 및 공공기관시설,기타,경유,"4,623","18,492",71,131,120,77,231,740,8
대구광역시,북구,비산업 연소,상업 및 공공기관시설,기타,등유,"5,850","21,060",99,47,43,40,293,936,4
대구광역시,북구,비산업 연소,상업 및 공공기관시설,기타,LPG,"4,044","19,616",89,64,64,64,"1,064",231,25
대구광역시,북구,비산업 연소,상업 및 공공기관시설,기타,LNG,"9,647","55,774",151,45,45,45,"2,713",769,17
대구광역시,북구,비산업 연소,상업 및 공공기관시설,가스히트펌프,LNG,"113,938","84,855",,,,,,,
대구광역시,북구,비산업 연소,주거용시설,"1,2,3종(보일러)",LNG,249,686,2,6,6,6,33,9,2
대구광역시,북구,비산업 연소,주거용시설,기타,무연탄,"318,565","57,678","101,901","5,936","4,553","2,371",396,3,45
대구광역시,북구,비산업 연소,주거용시설,기타,경유,62,247,1,18,16,10,3,10,1
대구광역시,북구,비산업 연소,주거용시설,기타,등유,"3,757","13,525",64,301,276,258,188,601,26
대구광역시,북구,비산업 연소,주거용시설,기타,LPG,450,"2,184",10,71,71,71,118,26,27
대구광역시,북구,비산업 연소,주거용시설,기타,LNG,"61,858","357,614",967,"2,900","2,900","2,900","17,397","4,929","1,113"
대구광역시,북구,비산업 연소,농업.축산.수산업시설,기타,경유,9,35,,2,2,1,,1,
대구광역시,북구,제조업 연소,연소시설,"1,2,3종(보일러)",B-C유,"2,314","25,606","6,732",570,523,288,594,370,3
대구광역시,북구,제조업 연소,연소시설,"1,2,3종(보일러)",LNG,"4,897","13,480",36,109,109,109,656,186,42
대구광역시,북구,제조업 연소,공정로,2차 알루미늄 생산,LNG,726,"1,998",5,16,16,16,97,28,6
대구광역시,북구,제조업 연소,공정로,제지 산업(건조공정),LNG,"10,061","27,697",75,225,225,225,"1,347",382,86
대구광역시,북구,제조업 연소,공정로,기타,B-C유,41,455,41,7,7,4,11,7,
대구광역시,북구,제조업 연소,공정로,기타,LPG,41,124,,1,1,1,6,1,
대구광역시,북구,제조업 연소,공정로,기타,LNG,"1,521","4,186",2,7,7,7,204,58,3
대구광역시,북구,제조업 연소,기타,광업,경유,482,"1,930",7,19,18,8,24,77,1
대구광역시,북구,제조업 연소,기타,"음,식료품 제조업",경유,49,197,1,2,2,1,2,8,
대구광역시,북구,제조업 연소,기타,"음,식료품 제조업",등유,,1,,,,,,,
대구광역시,북구,제조업 연소,기타,"음,식료품 제조업",LPG,4,12,,,,,1,,
대구광역시,북구,제조업 연소,기타,"음,식료품 제조업",LNG,313,862,2,1,1,1,42,12,
대구광역시,북구,제조업 연소,기타,"섬유제품제조업(봉제,의복 제외)",B-B유,7,30,52,1,1,1,2,1,
대구광역시,북구,제조업 연소,기타,"섬유제품제조업(봉제,의복 제외)",LNG,274,754,2,1,1,1,37,10,
대구광역시,북구,제조업 연소,기타,봉제의복 및 모피제품 제조업,LNG,63,174,,,,,8,2,
대구광역시,북구,제조업 연소,기타,"가죽,가방 및 신발 제조업",LNG,5,14,,,,,1,,
대구광역시,북구,제조업 연소,기타,목재 및 나무제품 제조업(가구 제외),LNG,21,58,,,,,3,1,
대구광역시,북구,제조업 연소,기타,"펄프, 종이 및 종이제품 제조업",LNG,69,190,1,,,,9,3,
대구광역시,북구,제조업 연소,기타,"출판, 인쇄 및 기록매체 복제업",LNG,86,237,1,,,,12,3,
대구광역시,북구,제조업 연소,기타,"코크스, 석유정제품 및 핵연료 제조업",LNG,2,5,,,,,,,
대구광역시,북구,제조업 연소,기타,화합물 및 화학제품 제조업,등유,16,63,,1,1,,2,3,
대구광역시,북구,제조업 연소,기타,화합물 및 화학제품 제조업,LNG,36,98,,,,,5,1,
대구광역시,북구,제조업 연소,기타,고무 및 플라스틱 제품 제조업,LNG,361,994,3,1,1,1,48,14,
대구광역시,북구,제조업 연소,기타,비금속광물제품 제조업,경유,173,694,3,7,6,3,9,28,
대구광역시,북구,제조업 연소,기타,비금속광물제품 제조업,LNG,48,131,,,,,6,2,
대구광역시,북구,제조업 연소,기타,제1차 금속산업,LNG,105,290,1,,,,14,4,
대구광역시,북구,제조업 연소,기타,조립금속제품 제조업(기계 및 가구 제외),등유,11,46,,,,,1,2,
대구광역시,북구,제조업 연소,기타,조립금속제품 제조업(기계 및 가구 제외),LNG,"3,046","8,385",23,7,7,7,408,116,3
대구광역시,북구,제조업 연소,기타,기타 기계 및 장비 제조업,B-C유,35,388,232,4,4,2,9,6,
대구광역시,북구,제조업 연소,기타,기타 기계 및 장비 제조업,LNG,996,"2,743",7,2,2,2,133,38,1
대구광역시,북구,제조업 연소,기타,컴퓨터 및 사무용기기 제조업,LNG,12,33,,,,,2,,
대구광역시,북구,제조업 연소,기타,기타 전기기계 및 전기변환장치 제조업,LNG,402,"1,107",3,1,1,1,54,15,
대구광역시,북구,제조업 연소,기타,"전자부품, 영상, 음향 및 통신장비 제조업",LNG,109,301,1,,,,15,4,
대구광역시,북구,제조업 연소,기타,"의료, 정밀, 광학기기 및 시계 제조업",LNG,581,"1,598",4,1,1,1,78,22,
대구광역시,북구,제조업 연소,기타,자동차 및 트레일러 제조업,LNG,232,640,2,1,1,1,31,9,
대구광역시,북구,제조업 연소,기타,기타 운송장비 제조업,LNG,10,27,,,,,1,,
대구광역시,북구,제조업 연소,기타,가구 및 기타제품 제조업,B-C유,"1,148","12,704","7,593",133,122,67,295,184,1
대구광역시,북구,제조업 연소,기타,가구 및 기타제품 제조업,경유,24,96,,1,1,,1,4,
대구광역시,북구,제조업 연소,기타,가구 및 기타제품 제조업,등유,16,65,,1,1,,2,3,
대구광역시,북구,제조업 연소,기타,가구 및 기타제품 제조업,LPG,605,"1,823",8,6,6,6,95,20,2
대구광역시,북구,제조업 연소,기타,가구 및 기타제품 제조업,LNG,153,420,1,,,,20,6,
대구광역시,북구,생산공정,식음료 가공,"육류,생선가공",기타,,,,,,,50,,
대구광역시,북구,생산공정,식음료 가공,마가린과요리용지방,기타,,,,,,,"11,523",,
대구광역시,북구,생산공정,기타 제조업,유리(탄소제거공정),기타,229,"9,851","6,414",229,191,172,458,,
대구광역시,북구,에너지수송 및 저장,휘발유 공급,주유소(주유시 포함),휘발유,,,,,,,"26,663",,
대구광역시,북구,유기용제 사용,도장시설,자동차 수리,기타,,,,,,,"81,567",,
대구광역시,북구,유기용제 사용,도장시설,건축 및 건물,기타,,,,,,,"599,879",,
대구광역시,북구,유기용제 사용,도장시설,코일 코팅,기타,,,,,,,"1,577,289",,
대구광역시,북구,유기용제 사용,도장시설,"나무,가구제조",기타,,,,,,,"46,854",,
대구광역시,북구,유기용제 사용,도장시설,기타 산업용 도장공정,기타,,,,,,,"47,927",,
대구광역시,북구,유기용제 사용,도장시설,기타 비산업용 도장공정,기타,,,,,,,"167,068",,
대구광역시,북구,유기용제 사용,세정시설,금속 세정공정,기타,,,,,,,"338,666",,
대구광역시,북구,유기용제 사용,세정시설,전자부품 제조,기타,,,,,,,"10,616",,
대구광역시,북구,유기용제 사용,세정시설,기타 산업용 세정공정,기타,,,,,,,"46,408",,
대구광역시,북구,유기용제 사용,세탁시설,세탁(드라이크리닝),기타,,,,,,,"177,617",,
대구광역시,북구,유기용제 사용,기타 유기용제사용,인쇄업,기타,,,,,,,"132,814",,
대구광역시,북구,유기용제 사용,기타 유기용제사용,가정 및 상업용 유기용제사용,기타,,,,,,,"1,169,834",,
대구광역시,북구,유기용제 사용,기타 유기용제사용,아스팔트 도로 포장,기타,,,,,,,"10,408",,
대구광역시,북구,도로이동오염원,승용차,경형,휘발유,"189,595","8,478",52,2,2,2,"18,406","10,290",
대구광역시,북구,도로이동오염원,승용차,경형,LPG,884,218,4,,,,36,,
대구광역시,북구,도로이동오염원,승용차,소형,경유,399,"8,103",3,159,159,147,102,8,84
대구광역시,북구,도로이동오염원,승용차,소형,휘발유,"114,385","26,803",44,6,6,5,"17,760","8,066",1
대구광역시,북구,도로이동오염원,승용차,소형,LPG,419,105,,,,,17,,
대구광역시,북구,도로이동오염원,승용차,중형,경유,"3,200","96,153",36,261,261,240,"1,708",93,138
대구광역시,북구,도로이동오염원,승용차,중형,휘발유,"248,270","58,506",194,78,78,72,"47,047","35,613",15
대구광역시,북구,도로이동오염원,승용차,중형,LPG,"79,066","17,806",72,,,,"2,326",,
대구광역시,북구,도로이동오염원,승용차,대형,경유,"2,254","54,509",,178,178,164,"1,224",,94
대구광역시,북구,도로이동오염원,승용차,대형,휘발유,"199,756","42,412",150,86,86,79,"32,869","27,460",16
대구광역시,북구,도로이동오염원,승용차,대형,LPG,"20,728","4,493",20,,,,568,,
대구광역시,북구,도로이동오염원,택시,중형,LPG,"17,032","6,554",124,,,,848,,
대구광역시,북구,도로이동오염원,택시,대형,LPG,34,13,,,,,2,,
대구광역시,북구,도로이동오염원,승합차,경형,휘발유,100,17,,,,,22,3,
대구광역시,북구,도로이동오염원,승합차,경형,LPG,"6,296",433,2,,,,221,,
대구광역시,북구,도로이동오염원,승합차,소형,경유,"2,672","33,498",9,"1,142","1,142","1,051",568,27,604
대구광역시,북구,도로이동오염원,승합차,소형,LPG,774,162,,,,,25,,
대구광역시,북구,도로이동오염원,승합차,중형,경유,"13,982","43,861",16,"1,251","1,251","1,151","3,703",14,662
대구광역시,북구,도로이동오염원,승합차,중형,LPG,2,,,,,,,,
대구광역시,북구,도로이동오염원,승합차,대형,경유,"8,326","30,683",15,375,375,345,976,7,266
대구광역시,북구,도로이동오염원,승합차,특수,경유,"5,235","30,723",10,443,443,407,"1,362",9,314
대구광역시,북구,도로이동오염원,버스,시내버스,CNG,"4,684","90,529",,,,,"111,777",,
대구광역시,북구,도로이동오염원,버스,시외버스,경유,"30,098","109,792",49,"1,295","1,295","1,191","3,239",68,919
대구광역시,북구,도로이동오염원,버스,전세버스,경유,"21,523","74,991",35,771,771,709,"1,837",48,547
대구광역시,북구,도로이동오염원,버스,고속버스,경유,124,427,,7,7,7,17,,5
대구광역시,북구,도로이동오염원,화물차,경형,휘발유,153,54,,,,,19,12,
대구광역시,북구,도로이동오염원,화물차,경형,LPG,"17,530","1,415",7,,,,656,,
대구광역시,북구,도로이동오염원,화물차,소형,경유,"68,612","494,327",151,"18,966","18,966","17,449","13,042",376,"10,030"
대구광역시,북구,도로이동오염원,화물차,소형,휘발유,96,27,,,,,8,,
대구광역시,북구,도로이동오염원,화물차,소형,LPG,"6,799","1,723",2,,,,266,,
대구광역시,북구,도로이동오염원,화물차,중형,경유,"181,947","417,651",293,"13,638","13,638","12,547","52,894",125,"2,906"
대구광역시,북구,도로이동오염원,화물차,중형,휘발유,123,17,,,,,8,,
대구광역시,북구,도로이동오염원,화물차,대형,경유,"225,564","1,082,629",304,"39,233","39,233","36,095","51,426",365,"27,838"
대구광역시,북구,도로이동오염원,화물차,대형,휘발유,597,81,,,,,38,,
대구광역시,북구,도로이동오염원,화물차,특수,경유,"44,997","145,191",110,"3,334","3,334","3,067","12,532",44,"2,366"
대구광역시,북구,도로이동오염원,화물차,특수,CNG,"1,675","3,923",,,,,"3,564",,
대구광역시,북구,도로이동오염원,화물차,덤프트럭,경유,"15,815","88,725",28,"2,471","2,471","2,273","3,630",34,"1,753"
대구광역시,북구,도로이동오염원,화물차,콘크리트믹서트럭,경유,"6,242","35,077",11,977,977,899,"1,432",13,693
대구광역시,북구,도로이동오염원,특수차,구난차,경유,539,"1,202",1,34,34,31,155,1,24
대구광역시,북구,도로이동오염원,특수차,견인차,경유,"8,135","20,770",15,569,569,523,"2,392",18,403
대구광역시,북구,도로이동오염원,특수차,기타,경유,"3,405","12,474",9,234,234,215,"1,017",11,166
대구광역시,북구,도로이동오염원,RV,소형,경유,"22,247","358,393",115,"7,008","7,008","6,447","6,069",304,"3,706"
대구광역시,북구,도로이동오염원,RV,소형,휘발유,"3,534",550,,1,1,1,560,,
대구광역시,북구,도로이동오염원,RV,소형,LPG,"55,060","12,413",21,,,,"1,852",,
대구광역시,북구,도로이동오염원,RV,중형,경유,"57,085","217,619",61,"8,845","8,845","8,137","6,645",165,"4,677"
대구광역시,북구,도로이동오염원,RV,중형,휘발유,445,61,,1,1,1,109,,
대구광역시,북구,도로이동오염원,RV,중형,LPG,"16,155","3,985",6,,,,465,,
대구광역시,북구,도로이동오염원,이륜차,50cc 미만,휘발유,"60,281",293,4,,,,"3,464",18,
대구광역시,북구,도로이동오염원,이륜차,50cc 이상,휘발유,"119,367","9,176",25,,,,"8,941",157,
대구광역시,북구,도로이동오염원,이륜차,100cc 이상,휘발유,"229,685","17,657",49,,,,"17,204",302,
대구광역시,북구,도로이동오염원,이륜차,260cc 이상,휘발유,"8,625","1,668",3,,,,903,21,
대구광역시,북구,비도로이동오염원,철도,기관차,경유,"8,583","20,956",534,"1,355","1,355","1,246","3,471",36,961
대구광역시,북구,비도로이동오염원,철도,동차,경유,37,99,3,7,7,7,8,1,5
대구광역시,북구,비도로이동오염원,농업기계,경운기,경유,"1,026","2,051",,205,205,189,308,6,146
대구광역시,북구,비도로이동오염원,농업기계,콤바인,경유,22,40,,5,5,4,5,,3
대구광역시,북구,비도로이동오염원,농업기계,분무기류,경유,849,"1,697",,170,170,156,255,5,120
대구광역시,북구,비도로이동오염원,농업기계,양수기,경유,"1,039","2,079",,208,208,191,312,6,147
대구광역시,북구,비도로이동오염원,농업기계,탈곡기,경유,39,79,,8,8,7,12,,6
대구광역시,북구,비도로이동오염원,농업기계,파종기,경유,42,83,,8,8,8,12,,6
대구광역시,북구,비도로이동오염원,농업기계,트랙터,경유,"1,164","3,679",1,183,183,168,225,14,130
대구광역시,북구,비도로이동오염원,농업기계,이앙기,경유,29,57,,6,6,5,9,,4
대구광역시,북구,비도로이동오염원,건설장비,불도저,경유,"4,269","8,405",3,456,456,420,"1,334",2,324
대구광역시,북구,비도로이동오염원,건설장비,로우더,경유,"19,593","38,956",15,"2,086","2,086","1,919","5,284",11,"1,480"
대구광역시,북구,비도로이동오염원,건설장비,지게차,경유,"91,156","192,072",78,"10,822","10,822","9,956","26,031",55,"7,678"
대구광역시,북구,비도로이동오염원,건설장비,굴삭기,경유,"97,442","190,114",93,"10,326","10,326","9,500","22,045",67,"7,327"
대구광역시,북구,비도로이동오염원,건설장비,기중기,경유,"13,072","42,564",14,"1,659","1,659","1,526","4,987",10,"1,177"
대구광역시,북구,비도로이동오염원,건설장비,콘크리트펌프,경유,"8,094","14,195",11,333,333,306,"2,521",8,236
대구광역시,북구,비도로이동오염원,건설장비,로울러,경유,"4,826","9,495",3,533,533,490,"1,399",2,378
대구광역시,북구,비도로이동오염원,건설장비,공기압축기,경유,"4,787","15,574",6,602,602,554,"2,026",4,427
대구광역시,북구,비도로이동오염원,건설장비,천공기,경유,"2,609","8,543",3,332,332,305,"1,084",2,236
대구광역시,북구,폐기물처리,기타 폐기물 처리,산업폐수 처리,기타,,,,,,,,16,
대구광역시,북구,폐기물처리,기타 폐기물 처리,주거와 상업폐수 처리,기타,,,,,,,,386,
대구광역시,북구,농업,비료사용농경지,농경지,,,,,,,,,"9,026",
대구광역시,북구,농업,분뇨관리,일반 소,기타,,,,,,,,"48,730",
대구광역시,북구,농업,분뇨관리,돼지,기타,,,,,,,,"7,062",
대구광역시,북구,농업,분뇨관리,닭,기타,,,,,,,,"30,832",
대구광역시,북구,농업,분뇨관리,기타 가금류,기타,,,,,,,,48,
대구광역시,북구,농업,분뇨관리,양 및 염소,기타,,,,,,,,62,
대구광역시,북구,농업,분뇨관리,모피동물,기타,,,,,,,,59,
대구광역시,북구,농업,분뇨관리,기타,기타,,,,,,,,"8,784",
대구광역시,북구,기타 면오염원,산불 및 화재,산불,기타,56,2,,7,4,4,10,,
대구광역시,북구,기타 면오염원,산불 및 화재,일반화재,기타,"53,978","1,271",,"3,485","2,214","1,993","4,465",,88
대구광역시,북구,기타 면오염원,동물,인간,기타,,,,,,,,"110,780",
대구광역시,북구,비산먼지,도로재비산먼지,승용차,기타,,,,"484,822","93,062","22,515",,,235
대구광역시,북구,비산먼지,도로재비산먼지,택시,기타,,,,"87,008","16,701","4,041",,,42
대구광역시,북구,비산먼지,도로재비산먼지,승합차,기타,,,,"22,352","4,291","1,038",,,11
대구광역시,북구,비산먼지,도로재비산먼지,버스,기타,,,,"26,239","5,037","1,219",,,13
대구광역시,북구,비산먼지,도로재비산먼지,화물차,기타,,,,"262,300","50,349","12,181",,,127
대구광역시,북구,비산먼지,도로재비산먼지,특수차,기타,,,,"3,735",717,173,,,2
대구광역시,북구,비산먼지,도로재비산먼지,RV,기타,,,,"193,955","37,230","9,007",,,94
대구광역시,북구,비산먼지,건설공사,주거시설,기타,,,,"93,575","64,199","6,420",,,
대구광역시,북구,비산먼지,건설공사,비주거시설,기타,,,,"117,225","80,415","8,041",,,
대구광역시,북구,비산먼지,나대지,학교운동장,기타,,,,"150,860","58,835","8,825",,,2
대구광역시,북구,비산먼지,하역 및 야적,알갱이 성상,기타,,,,,,,,,
대구광역시,북구,비산먼지,농업활동,경지정리,기타,,,,"4,660","2,100",420,,,
대구광역시,북구,비산먼지,농업활동,수확,기타,,,,"6,690","2,265",453,,,
대구광역시,북구,비산먼지,축산활동,한육우,기타,,,,"2,395",798,532,,,27
대구광역시,북구,비산먼지,축산활동,닭,기타,,,,"4,849","1,643",205,,,
