사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,객실수,건물용도명,건축연면적,기념품종류명,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,부대시설내역,시설규모,시설면적,안내소유무,영문상호명,의무실유무,자본금,제작취급품목내용,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
키즈몽 사수점,20171031,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 사수동 827번지 3층,"대구광역시 북구 내곡로 38-6, 3층 (사수동)",
헬로방방 월성,20171206,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,480,480,,,,,,,,일반주거지역,대구광역시 달서구 월성동 1394-2번지,"대구광역시 달서구 조암남로 85, 4층 408,409호 (월성동, DS타워)",
COME&PLAY,20171229,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 166-1번지 대구백화점건물,"대구광역시 중구 동성로 30, 대구백화점건물 10층 (동성로2가)",
챔피온,20171218,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 검사동 908-5번지 홈플러스 동촌점 1층,"대구광역시 동구 동촌로 127, 홈플러스 동촌점 1층 (검사동)",
맥스라이더,20171218,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 검사동 908-5번지 홈플러스 동촌점 1층,"대구광역시 동구 동촌로 127, 홈플러스 동촌점 1층 (검사동)",
라라랜드키즈카페,20180222,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 서변동 1783-6번지,"대구광역시 북구 호국로 225, 4층 (서변동)",
(주)히어로키즈파크대구지점,20171117,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 대흥동 504번지 대구스타디움몰,"대구광역시 수성구 유니버시아드로 140, 1호 (대흥동)",
보물섬,20160923,폐업 등,20161119,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 남구 대명동 898-9번지,대구광역시 남구 대명로36길 38-2 (대명동),
킹콩점프,20170808,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 매천동 686번지,"대구광역시 북구 매천로 124, 3층 (매천동)",
홈플러스 상인 상상노리,20171124,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달서구 상인동 171-1번지 상인 대성 스카이렉스,"대구광역시 달서구 월배로 183, 지하2층 XJ,Y10호 (상인동, 상인 대성 스카이렉스)",
맥스라이더 칠성점,20171102,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 칠성동2가 378-21번지 Homeplus 대구칠성점,"대구광역시 북구 중앙대로 543, 2층 (칠성동2가)",
서문시장 야시노 플레이존,20170929,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 대신동 115-377번지,"대구광역시 중구 큰장로28길 28 (대신동, 서문시장4지구)",
크레이지모터스,20171103,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 중동 403-3번지,대구광역시 수성구 수성로 157-1 (중동),
플레이2,20171114,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 서변동 1787번지 대성골든프라자2차,"대구광역시 북구 호국로 215, 303호 (서변동)",
화원동산 물놀이장,20170721,폐업 등,20170820,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달성군 화원읍 성산리 310번지,대구광역시 달성군 화원읍 사문진로1길 40-14 (화원유원지),
점핑봉봉,20171020,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,일반주거지역,대구광역시 동구 방촌동 1120-39번지 4층,"대구광역시 동구 화랑로80길 12, 4층 (방촌동)",
